Mineral_Name,LOCALITY,Type,Note
Altaite,Altai Mountains,2,
Altmarkite,Altmark,1,"Originally found on a natural gas plant (artificial substance) in Altmark, Germany"
Alunite,"Allumiere Quarries, Tolfa, Rome Province, Latium",1,"A contraction of the earlier name aluminilite, after Allumiere Quarries, Latium, Italy"
Alushtite,Alushta,1,After the type locality
Alvite,Alve Feldspar Quarry,1,
Amamoorite,Amamoor mine,1,"Amamoor Creek, Gympie Region, Queensland"
Amarillite,"Tierra Amarilla, Copiapo Province, Atacama Region",1,
Amarillo Stone,Amarillo Stone,1,"In allusion to its occurrence in Texas, USA"
Amazonite,Amazon River,1,For an unspecified type locality area
American jade,America,4,Derived from the locality of occurrence
American ruby,America,4,Derived from the locality of occurrence
Ammersooite,Ammersooien,1,"The name is for ""the potash experimental field near Armmerzoden, locally known as 'Ammersooien,' where the K-6xing phenomenon was first observed in Dutch agricultural practice."""
Amosite,Asbestos Mines,1,"A trade name for the amphiboles belonging to the cummingtonite-grunerite solid solution series, commonly from South Africa, named as an acronym from Asbestos Mines of South Africa."
Ampangabeite,Ampangabé,1,"After the locality at Ampangabé, Madagascar"
Amstallite,"Amstall Graphite Quarry, Lower Austria",1,
Anapaite,"Anapa, Taman Peninsula, Russia",3,
Anatacamite,"La Vendida Mine, Sierra Gorda, Antofagasta Region",1,
Andalusite,After the Andalusia region,2,
Andean Opal,Andean Mountains,4,A greenish-blue opal from Andean Mountains (Peru)
Andesine,For the Andes Mountains of South America where it is abundant in the lava,2,"First recorded at Marmato, Caldas Department, Colombia"
Anduoite,"Anduo Cr deposit, Nagchu, Tibet (Province Of China)",1,
Angarfite,"Angarf South Pegmatite, Tazenakht, Souss-Massa-Draâ Region",1,
Angastonite,"Angaston, Barossa Valley, North Mt Lofty Ranges, Mt Lofty Ranges, South Australia",3,Penrice marble quarry
Ángelaite,Mina Ángela,1,
Anglesite,Anglesey,2,
Anilite,"Ani Mine, Kaya Kusa, Akita Prefecture, Honshu Island, Japan",1,
Ankangite,"Ankang Prefecture, Shaanxi Province",3,
Annabergite,"Annaberg District, Erzgebirge, Saxony",3,
Annite,"Cape Ann, Essex County, Massachusetts",3,
Annivite,"Anniviers valley (Val d'Anniviers), Wallis",3,
Antarcticite,Antarctica,4,
Antigorite,"Antigorio Valley, Ossola Valley, Piedmont",3,
Antlerite,"Antler mine, Arizona",1,
Antofagasite,Antofagasta,1,
Antofagastaite,Antofagasta,3,The province in which the type locality is situated
Anyuiite,"Bol'shoi Anyui River Basin, Kolyma area, Chukotskii Autonomous Okrug, Far-Eastern Region",1,
Apexite,"Apex mine, Nevada",1,
Apuanite,Apuan Alps,2,
Aradite,Arad,3,
Aragonite,Village of Molina de Aragón,1,
Arangasite,Arangas Creek,1,
Aravaipaite,"Aravaipa mining district, Arizona",1,
Aravaite,Aravaite,1,"Named after its type locality, Hatrurim Formation, Negev, Israel"
Arctite,Arctic Region,2,
Ardaite,Arda River,2,
Ardennite,Ardennes Mountains,2,
Arequipite,Arequipa,2,"After the locality at the Vistoria Mine, near Tibaya, Arequipa Province, Peru"
Argutite,Argut deposit,1,
Arhbarite,"Arhbar (Aghbar) mine, Bou Azzer",1,
Arite,Ar Mine,1,"Named after the original locality from Ar Mine, Eaux-Bonnes, Pyrénées-Atlantiques, Aquitaine, France."
Arizona ruby,Arizona,2,Derived from the locality of occurrence
Arizonite,Arizona,2,
Arkansas diamond,Arkansas,2,Derived from the locality of occurrence
Arkansite,Arkansas,2,"Name for a morphological variety of brookite from Arkansas, USA."
Arksutite,Arsuk Fjord,3,"Name introduced by G.Hagemann for a white, grainy mineral found together with cryolite in the Ivigtut deposit, Greenland"
Armenite,"Armen mine, Kongsberg",1,
Arnhemite,Arnhem Cave,1,Named after its locality.
Aromite (of Darapsky),Pampa de Aroma,1,"Originally described from Pampa de Aroma, Negreiros, Iquique Province, Tarapacá Region, Chile"
Arquerite,Arqueros Ag Mining District,1,"Originally described from Arqueros Ag Mining District, La Serena, Elqui Province, Coquimbo Region, Chile."
Arsiccioite,"Monte Arsiccio mine, Apuan Alps, Tuscany",1,For the mine that produced the first specimens.
Arzakite,Arzak deposit,1,
Aschamalmite,Ascham Alm,1,
Ascharite,Ascharia,3,"Ascharite is from Ascharia, the ancient Roman name of Aschersleben, in Saxony, Germany, where the site is located."
Ashanite,"Altai and SHAN, Chinese for mountains",2,
Ashburtonite,Ashburton Downs pastoral lease and homestead,1,
Ashoverite,Ashover,3,
Asisite,Asis Farm,1,"Location of the Kombat mine, which in the Nama language means drinking place"
Åskagenite-(Nd),"Åskagen (Torskebäcken), Filipstad, Värmland",1,
Askanite,Askana,3,"Originally described from Askana, Ozurgety District, Georgia."
Aspedamite,"Aspedammen, Halden, Østfold",3,For the village near which the first specimens were collected.
Atacamite,Atacama Desert,1,undefined occurrence
Athabascaite,"Lake Athabasca, northern Saskatchewan",3,The type locality is near the lake
Atokite,Atok mine,1,
Attapulgite,Attapulgus,3,"For the U.S. town of Attapulgus, Georgia, where the mineral is abundant"
Attikaite,Attika,2,"For the place of its first occurrence, the historically significant region"
Aurorite,"Aurora mine, Nevada",1,
Australite,Australia,4,A tektite variety from the Australasian strewnfield.
Autunite,Saint Symphorien near Autun,3,The area near to which the first specimens to be analyzed were collected.
Avaite,Ava,1,"Originally reported from Kani, Chindwin river, Innwa (Ava; Ratanapura), Mandalay Division, Myanmar (Burma)."
Avalite,Mt Avala,1,"Originally described from Mt Avala, Belgrade, Serbia."
Awaruite,Awarua Bay,3,
Azovskite,Azov,1,"From the locality on the Taman peninsula, Sea of Azov."
Badenite,Badeni-Ungureni,3,"After the locality where found: near Badeni-Ungureni, Muscel, Romania"
Baghdadite,Baghdad,3,the capital of Iraq
Bahianite,Bahia,3,
Baikalite,Baikal,1,"Originally described in the 19th century from the Slyudyanka phlogopite mines area, Lake Baikal, Irkutskaya Oblast', Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia"
Baksanite,Baksan River Valley,2,"For the locality, in which the mineral occurs."
Balangeroite,"Balangero - Corio area, Torino Province, Piedmont",3,
Balas Ruby,Balascia,3,"""Balas"" is derived from Balascia, the ancient name for Badakhshan. The Badakshan Province was for centuries the main source for red and pink spinels"
Balkanite,Balkan Mountains,2,"For the medieval and popular name of the Stara Planina (Balkan Mountains), the main mountain range giving its name to the Balkan Peninsula."
Balvraidite,Balvraid,3,"Glen Beag, Glenelg, North West Highlands (Inverness-shire), Scotland"
Bambollaite,La Bambolla,1,"For the Spanish nickname ""La Bambolla"" of the mine where it occurs, which roughly translates into ""hot air"" in allusion to exaggerated tales of rich gold ore."
Bamfordite,Bamford Hill,1,
Baotite,Pao-t'ou,2,Baotou in Russian
Bararite,"Bararee colliery, Barari, Jharia coal field",1,
Barbertonite,Barberton district,2,Named for the locality
Barikaite,"Barika ore deposit, Sardasht, Sardasht County, West Azarbaijan Province",1,For the locality that produced the first specimens.
Barkevikite,Barkevik,3,"""Barkevikite"" from its ""type locality"", Skutesundskjær near Barkevik, in the eastern part of the Langesundsfjord"
Barquillite,Barquilla,3,For the village near the type locality.
Barringtonite,"Barrington Tops, Gloucester Co., New South Wales",3,
Bassetite,"Basset mine group, Cornwall",1,
Bastite,Baste-valley,3,Named after the Baste-valley in the Harz (Germany)
Bastonite,Bastogne,3,"Originally described by Des Cloizeaux in 1862 from Les Roches Quarry, Bastogne, Luxembourg Province, Belgium"
Batagayite,Batagay,3,"Named for the town of Batagay, located about 50 km from the type locality. It is the administrative center of the Verkhoyansky District of the Sakha Republic, Russia."
Baumoite,Baumoite,1,"Radium Hill area, Olary Province, South Australia"
Bauxite,Baux,1,"After the locality at Baux (or Beaux), near St. Reny, Bouches-du-Rhône, France"
Bavenite,"Baveno, Piedmont",3,
Bayankhanite,Bayankhaan,3,"Originally reported from Idermeg-Bayan-Khan-Ula (Idermeg Bayankhaan Uul), Hentiy Aimag, Mongolia"
Bayate,Bayate,3,"Originally described from Oriente Province, Cuba."
Beaconite,Beacon Mine,1,"Originally reported from Champion Mine (Beacon Mine), Champion, Marquette iron range, Marquette Co., Michigan, USA"
Beaverite,"Beaver County, Utah",2,
Bediasite,Bedias,3,It originates in an area in the eastern part of the U.S. state of Texas centered on the small town of Bedias which is 74 miles (119 km) north west of Houston
Beidellite,"Beidell, Crystal Hill District, Saguache Co., Colorado",1,
Bellbergite,Bellerberg volcano,3,also Bellberg
Belmontite (of Küstel),Belmont,3,"Originally reported from Belmont, Nye Co., Nevada, USA"
Benauite,Benauer Berg,2,For the place near which the Clara mine is situated.
Bendadaite,"Bendada phosphate pegmatite, Bendada Quarries, Sabugal, Guarda District",1,
Benitoite,"San Benito County, California",2,
Bentonite,Fort Benton shales,1,"Originally described from Fort Benton shales, Wyoming, USA"
Beraunite,Beroun,3,formerly Beraun
Berezovite,Beresovsk,3,After the locality
Bergenite,Bergen,2,The first-noted occurrence of the mineral
Bergslagite,The Bergslagen region,2,
Beshtauite,"Gremuchka ore zone, mine №1, Beshtau Mt., Lermontovskoe U Deposit, Pyatigorsk, Stavropol'skiy Kray, Northern Caucasus Region",1,For the mine that produced the first specimens.
Betpakdalite,Betpakdala (Bet-Pak-Dal) Desert,2,
Biachellaite,Biachella Valley,1,
Bicchulite,Bicchu,3,"Japan the town wherein the Japanese type locality is situated, although Bicchu was subsequently encompassed by an expanded Takahashi City"
Bidalotite,Bidaloti,3,Cccurring near the village Bidaloti in Mysore
Bieberite,"Bieber, Hessen",3,
Bigcreekite,"Big Creek, California",3,
Biggs Jasper,Biggs Junction,3,"Jasper from Biggs Junction, Oregon"
Bikitaite,Bikita,3,"(Fort Victoria), Masvingo"
Bikolite,Bikol area,3,A name given to tektites from the Bikol area of the Philippines
Bílinite,Bílina,3,"Bílina (Bilin), Ústí Region, Bohemia (Böhmen; Boehmen)"
Billitonite,Billiton Island,1,"A material found on Billiton Island, between Sumatra and Borneo"
Binnite,Binn valley,1,
Binnite (of Des Cloizeaux),Binn valley,1,For the locality
Biraite-(Ce),Biraia cabonatite dike,1,"Vitim, Irkutsk Oblast, Zabaikalye, (Siberia)"
Birnessite,Birness,3,
Bisbeeite,Bisbee,3,"Named after Bisbee, Cochise County, Arizona, from where it was first described"
Bitikleite,Bitikle,3,"The name of ancient fortress, Kabardino-Balkaria, Northern Caucasus"
Bityite,Mt. Bity,2,A landmark in the area close to the type locality
Blanchardite,Blanchard Mine,1,"Named after the Blanchard Mine in New Mexico, USA."
Blue John,Blue John Cavern,1,"First Recorded Locality: Blue John Mine (Blue John Cavern), Castleton, Derbyshire, England, UK"
Bluebellite,Blue Bell claims/mine,1,The exact type locality is the D shaft at the Blue Bell claims.
Bluelizardite,"Blue Lizard mine, San Juan Co., Utah",1,
Bluestreakite,"Blue Streak Mine, Bull Canyon District, Montrose Co., Colorado",1,
Bodieite,Bodie Hills volcanic field/town of Bodie,1,California
Boghead-coal,Boghead,3,A variary of coal
Bohemian chrysolite,Bohemia,2,Derived from the locality of occurrence
Bohemian diamond,Bohemia,2,Derived from the locality of occurrence
Bohemian ruby,Bohemia,2,Derived from the locality of occurrence
Boleite,Boleo,1,"near Santa Rosalia, Baja California"
Bologna Stone,Bologna,3,
Bonaccordite,Bon Accord,1,
Bosoite,"Boso peninsula, Chiba prefecture",3,
Botallackite,"Botallack Mine, St. Just, Cornwall.",1,
Botswana Agate,Botswana,4,A variety of agate from Botswana
Bottinoite,Bottino mine,1,
Bouazzerite,Bou Azzer Mine,1,
Bouazzerite (of Cailleres),Bou Azzer mine,1,Due to its type locality
Brabantite,Brabant Farm,1,Location of the pegmatite where the mineral was first found.
Brandholzite,Brandholz-Goldkronach,2,The former mining district of Fichtelgebirge
Brazilian aquamarine,Brazilia,4,Derived from the locality of occurrence
Brazilian Emerald,Brazil,4,A variety of emerald from Brazil
Brazilian Pebble,Brazil,4,A name used for Brazilian quartz
Brazilian ruby,Brazilia,4,Derived from the locality of occurrence
Brazilian Sapphire,Brazil,4,A blue coloured variety of tourmaline (sapphire) from Brazil.
Brazilianite,Brazil,4,The country in which it was first found
Brenkite,Brenk,3,"A municipality in the district of Ahrweiler, in Rhineland-Palatinate"
Bristol Diamonds,Bristol District,2,Small quartz crystals with a high lustre occurring in the Bristol District
Brokenhillite,Broken Hill,3,"Originally reported from Broken Hill, Yancowinna Co., New South Wales, Australia."
Brossite,Brosso Mine,1,"Originally reported from Brosso Mine, Cálea, Léssolo, Canavese District, Torino Province, Piedmont, Italy."
Brostenite,Brosteni,3,"Originally described from Brosteni, Suceava Co., Romania"
Brumadoite,Brumado,3,The first described locality near Bahia
Bruneau Jasper,Bruneau Canyon,1,"Jasper from Bruneau Canyon, in Owyhee County, Idaho"
Brunsvigite,Brunsvig region,2,For the region where the mineral was found
Bucaramangite,Bucaramanga,3,
Buckhornite,Buckhorn mine,1,"For its occurrence in the mine, Colorado"
Bukovite,Bukov mine,1,For its occurrence at the mine
Bulachite,Neubulach,1,For the occurrence
Bultfonteinite,"Bultfontein mine at Kimberley, Free State Provinc",1,
Burangaite,"Buranga pegmatite, Gatumba District, Western Province",1,
Burmite,Burma,4,
Burpalite,Burpala alkaline Massif,2,"Maigunda River, Buriatia (Buryatia) Republic"
Burroite,Burro mine,2,"Slick Rock District, San Miguel Co., Colorado"
Bursaite,"Mount Uludağ, Bursa Province, Marmara Region",2,
Buryatite,"Buriatia Republic (Buryatia), Transbaikalia (Zabaykalye), Eastern-Siberian Region",2,"Solongo B deposit, Vitim Plateau"
Byelorussite-(Ce),"Belarus (formerly Byelorussia, USSR)",4,"Diabazovoye REE-Be deposit, Zhitkovitchskii gorst, Homyel' (Gomel) Province"
Byrudite,Byrud Emerald Mine,1,"Minnesund, Eidsvoll (Eidsvold), Akershus"
Bystrite,Malaya Bystraya deposit,1,
Bytízite,Bytíz deposit,1,
Bytownite,"""Bytown,"" now Ottawa",3,"The original material, a greenish-white substance, was found in a boulder near Bytown (now Ottawa). This locality now appears to have been lost."
Calamaite,"Calama, El Loa Province, Antofagasta Region",3,
Calaverite,"Calaveras Co., California",2,Stanislaus Mine
Caledonite,Latin Caledonia,2,"The Roman name for the Highlands of Scotland, the first known locality."
Californian ruby,California,2,Derived from the locality of occurrence
Californite,California,2,
Calumetite,Calumet,3,For the town near which it was first discovered.
Camaronesite,"Los Camarones, Arica Province, Arica and Parinacota Region",3,For the valley from which the first samples were collected.
Campigliaite,Campiglia Marittima,3,For the locality which provided the first specimens
Canaanite,Canaan,1,After the type locality
Canadian Amethyst,Canada,4,"Found near Thunder Bay, Ontario, Canada"
Canavesite,Canavese,3,"For the district, in which the mine that produced the first specimens is located."
Canosioite,Canosio,3,"A small municipality where the type locality, the Valletta mine, is located"
Cape Asbestos,Asbestos Mountains,1,The Asbestos Mountains is a range of hills in the Northern Cape province of South Africa
Cape May Diamonds,Cape May,1,"From the locality they are found, Cape May in New Jersey, USA."
Cape-chrysolite,Cape Town,3,Derived from the locality of occurrence
Cape-ruby,Cape Town,3,Derived from the locality of occurrence
Capgaronnite,Cap Garonne mine,1,For the occurrence in the mine
Capillitite,Capillitas,1,From the locality Capillitas in Argentina.
Caporcianite,Caporciani,1,In the valley of the Caecino
Capranicaite,Capranica,3,"For the locality that produced the first specimens, in the Vico volcanic complex, Viterbo"
Caracolite,Caracoles,3,A town near the Beatriz mine
Carboirite,Carboire,1,"Named after the type locality, Ariège, Midi-Pyrénées"
Carducciite,Valdicastello Carducci,1,For the town located near the mine that produced the first specimens
Carinthine,Carinthia,2,From where it was first reported
Carlinite,Carlin gold deposit,1,"For the deposit, Nevada, in which it was discovered."
Carltonite,Carlton meteorite,1,
Carmeltazite,Mt Carmel,1,"The name carmeltazite derives from the type locality, Mt Carmel (“CARMEL”)"
Carpathite,Karpaty,2,"From the Ukrainian Karpaty, for the place of discovery in the Transcarpathian district"
Carraraite,Carrara district,3,For its occurrence
Carrboydite,Carr Boyd Rocks mine,1,The first known locality
Carrollite,Carroll Co.,2,For its occurrence in Maryland
Cassagnaite,Cassagna mine,1,For the locality that produced the first specimens
Catamarcaite,Catamarca,2,"After the Province, where the new mineral species was found."
Cebollite,"Cebolla Creek, Colorado",3,A Creek in the drainage of which the mineral was first collected.
Centennialite,"Centennial mine, Calumet, Houghton Co., Michigan",1,
Cerchiaraite,Cerchiara mine,1,
Cerromojonite,Cerro Mojon,1,"Named for Cerro Mojon, the highest mountain peak closest to the type locality (El Dragón mine)."
Cervandonite-(Ce),Pizzo Cervandone,3,After the locality on the border between Italy and Switzerland where the mineral was discovered.
Cervantite,Cervantes,1,For the supposed original occurrence
Cesanite,Cesano No. 1 well,1,"Cesano geothermal field, Bracciano Lake, Rome Province, Latium"
Cetineite,Le Cetine di Cotorniano Mine,1,
Ceylon diamond,Ceylon,1,Derived from the locality of occurrence
Ceylon opal,Ceylon,1,Derived from the locality of occurrence
Ceylonese Chrysolite,Ceylon,4,A trade name for golden-yellow chrysoberyl indicating location at Ceylon
Ceylonite,Ceylon,1,"for the type location Ceylon, now called Sri Lanka"
Chabournéite,Chabournéou Glacier,3,near the Jas Roux deposit
Chacaltaîte,Chacaltaya mine,1,"Originally reported from Chacaltaya mine, Mt. Huayna Potosí (Huaina Potosi), Murillo Province, La Paz Department, Bolivia."
Chaidamuite,Chaidamu,2,
Chalcedony,Chalcedon,3,"Mentioned by Agricola (1546) of a stone named for the town of Chalcedon, now called Kadıköy, and is a district within the city of Istanbul, Turkey."
Challacolloite,"Lolon Mine (Challacollo Mine), Challacollo, El Tamarugal Province, Tarapacá Region",1,"For the mine, where the specimens for description of the species were collected."
Chambersite,"Chambers Co., Texas",2,
Chaméanite,"Chaméane, Puy-de-Dôme",1,For the occurrence at the Chame´ane mine
Chamosite,Chamoson,3,"Haut de Cry, near Chamoson, Valais"
Chanabayaite,"Chanabaya, Iquique Province, Tarapacá Region",3,For the village of Chanabaya near the locality that produced the first specimens.
Changbaiite,Changbai Mountain,2,"Mountain Range, between China and North Korea, which includes the type locality for the mineral."
Changhua Stone,Changhua,3,"Named for its occurrence at Changhua, Zhejiang Province, China."
Charoite,Chara River,2,
Chasovrite,Chasovyar deposit,1,A variety of clay mineral (glinite) from the Chasovyar deposit in the Ukraine.
Chathamite,Chatham,3,Its locality
Chatkalite,Chatkal-Kuramin Mountains,2,
Chegemite,Chegem River,2,"For the Chegem River, in the headwater area of which the new mineral was discovered."
Chelkarite,Chelkar salt dome,1,
Chelyabinskite,Chelyabinsk,3,"After the area of occurrence, the Chelyabinsk coal basin, Urals Region, Russia."
Chemawinite,Chemahawin,1,"Chemahawin, Chemayin, the Indian name of a Hudson Bay post near which it was found"
Chengdeite,Chengde Co.,2,It was found to occur near this location
Cheralite,Chera (Kerala),1,An ancient Dravidian kingdom predating Travancore (now Kerala State)
Chesterite,Chester,3,
Chesterlite,Chester,3,"Originally from the Poorhouse Quarry, West Bradford, Chester Co., Pennsylvania, USA"
Chiavennite,Chiavenna,3,
Chibaite,Chiba,2,For the Prefecture in Japan where the first samples were collected.
Chilean Lapis,Chile,4,A variety of Lapis lazuli from Chile
Chillagite,Chillagoe,3,"Originally described from Christmas Gift Mine, Chillagoe, Chillagoe-Herberton District, Queensland, Australia"
Chiluite,Chilu molybdenum deposit,1,
Chinite,China,4,"Found in China, hence the name."
Chiviatite,Chiviato,1,After the locality
Chivruaiite,Chivruai River Valley,2,"For the type locality, Lovozero Massif, Kola Peninsula"
Chlorkyuygenite,Kyuygen-Kaya Mountain,2,
Chlormayenite,Mayen,3,
Chubutite,Chubut,2,"After the locality at Cerro de las Coronas, Chubut, Argentina"
Chvaleticeite,Chvaletice,1,For the locality where the first specimens were collected
Claraite,Clara mine,1,For the locality where the first specimens were collected.
Clausthalite,Clausthal,3,Harz Mountains
Clear Lake Diamonds,Clear Lake Highlands,3,"After the location of occurrence: Clear Lake Highlands area, Lake Co., California."
Clearcreekite,Clear Creek claim (Clear Creek Mine),3,"Picacho Peak, New Idria District, Diablo Range, San Benito Co., California"
Cleusonite,Cleuson Lake,3,For the locality that provided the specimens for complete description of the species.
Cloncurryite,"Great Australia Mine,Cloncurry",1,"Cloncurry District, Mt Isa - Cloncurry area, Queensland"
Cluthalite,Clutha,3,"Named from Clutha, a name by which the valley of the Clyde has been sometimes distinguished."
Coalingite,Coalinga,3,For the nearby town of Coalinga
Cocinerite,Cocinera,1,"Cocinera, mine at Ramos, San Luis Potosi, Mexico, where it was found"
Coconinoite,"Sun Valley mine, Coconino County, Arizona",1,
Coldwellite,Coldwell alkaline complex,2,For the locality that produced the first specimens .
Colerainite,Saint-Joseph-de-Coleraine,3,Named after its locality
Colimaite,Colima Volcano,3,
Coloradoite,Colorado,2,"For the Keystone and Mountain Lion mines, Magnolia, Magnolia district, and Smuggler mine, Ballerat district, Boulder Co., type localities in Colorado, USA."
Colquiriite,Colquiri tin mine,1,
Columbite,Columbia,4,"COLUMBia, for America, source of the first specimens."
Colusite,"Colusa claim, Montana",1,For the location near which it occurs in the Leonard mine.
Combarbalite,Combarbalá,3,For the locality.
Compreignacite,Compreignac,3,For the village near the Margnac mine
Congolite,the Republic of Congo (Brazzaville).,4,For the country in which the first specimens were collected.
Copiapite,"Copiapó Province, Atacama Region, Chile",2,
Coquimbite,Coquimbo region,2,
Corderoite,Cordero mine,1,For its occurrence in the McDermitt (formerly Cordero) mine
Corkite,County Cork,2,
Cornubite,Cornubia,3,"The Latin name for Cornwall, source of the first specimens"
Cornwallite,Cornwall,3,
Cosalite,Cosalá,3,
Coyoteite,Coyote Peak,1,A local prominence on which the mineral was found.
Creedite,Creede,1,"For the occurrence near Wagon Wheel Gap, Creed Quadrangle, Colorado"
Crestmoreite,Crestmore,1,"Originally reported from Crestmore quarries, Crestmore, Riverside Co., California, USA."
Cristobalite,Cerro San Cristóbal,1,"For the first-noted occurrence at Cerro San Crist¶obal, Mexico"
Csiklovaite,Csiklova,1,"Originally described from Ciclova (Csiklova) Montana, Caras-Severin Co., Romania"
Cubanite,Cuba,4,For its occurrence
Cummingtonite,Cummington,1,
Cymrite,Cymru,2,"From the Welsh name for Wales, the locality of discovery"
Cyrilovite,Cyrilov,1,For its occurrence in the Cyrilov pegmatite
Dallasite,Dallas Road,1,"The stone dallasite is named after Dallas Road, Victoria, British Columbia"
Dalnegorskite,Dalnegorsk,3,After the type locality
Damaraite,Damara sequence,1,"For the Damara dolostone sequence, which hosts the Kombat deposit"
Damiaoite,Damiao,3,For its occurrence
Danbaite,Danba,2,
Danburite,Danbury,3,
Dannemorite,Dannemora,3,
Daomanite,Sandao and Tiema,3,"From the last syllables of its two Chinese localities, SanDAO and TieMA villages"
Daqingshanite-(Ce),Mt. Daqingshan,1,
Darapiosite,Dara-i-Pioz massif,1,For the occurrence
Dargaite,"Nahal Darga, Hatrurim Formation, West Bank",1,
Darwin Glass,Mount Darwin,1,"It takes its name from Mount Darwin in the West Coast Range, where it was first reported, and later gave its name to Darwin Crater, a probable impact crater, and the inferred source of the glass."
Davanite,Davan Stream,1,"For the stream, in the Murun massif"
Debaoite,Debao,3,For the discovery locality
Degeroite,Degerö silver mine,1,"Originally reported from Degerö silver mine, Kaitalahti, Helsinki, Southern Finland Region, Finland"
Dehrnite,Dehrn,3,"After the locality at Dehrn, Nassau (now Hesse), Germany."
Delatynite,Delyatyn,3,"A variety of amber from the area near Delyatyn, Ukraine."
Delawarite,Delaware Co.,3,
Deveroite-(Ce),Devero Natural Park,1,"For the park in Devero Valley, that produced the first specimens and a suffix for the dominant rare earth element"
Dhanrasite,Dhanras Hills,1,"Originally reported from Dhanras Hills, Gaya District, Bihar, India."
Diaoyudaoite,Diaoyudao Island,2,
Dillnite,Dilln,1,"Named for Dilln, the german name for Banska Bela in central Slovakia"
Diomignite,Zhabuye Salt Lake,1,
Doloresite,Dolores River,3,"Southwestern Colorado, USA."
