name,relation,note
Alumomelanocerite,Melanocerite-(Ce),Aluminina Melanocerite
Alumopharmacosiderite,Pharmacosiderite,Aluminum analogue of pharmacosiderite
Alumospencite,Spencite,Aluminian Spencite
Alumotantite,,Composition of ALUMinum and TANTalum
Alumotungstite,Ferritungstite,Aluminum analogue of Ferritungstite
Alumovesuvianite,Vesuvianite,Aluminum analogue of Vesuvianite
Alundum,Corundum,"A substance consisting of fused alumina, related to Corundum"
Alvanite,,Composition of ALuminum and VANadium
Ammineite,,The first mineral described with ammine complex in its crystal structure.
Ammonioalunite,Alunite,Ammonium analogue of alunite
Ammonioborite,,Composition containing AMMONIum and being a BORate
Ammoniojarosite,Jarosite,Ammonium analogue of jarosite
Ammoniolasalite,Lasalite,The ammonium analogue of lasalite.
Ammonioleucite,Leucite,For ammonium in the composition
Ammoniomagnesiovoltaite,Voltaite,Analogue of voltaite with ammonium and magnesium
Ammoniomathesiusite,Mathesiusite,The (NH4) analogue of mathesiusite.
Ammoniovoltaite,Voltaite,Named for being the ammonium analogue of voltaite.
Ammoniozippeite,Zippeite,Named for the chemical relation to zippeite.
Ammonium-Aphthitalite,Aphthitalite,An ammonium-bearing variety of Aphthitalite
Ancylite-(Ce),Ancylite Group,Cerium for the dominant rare-earth element
Ancylite-(La),Ancylite Group,Lanthanum for the dominant rare-earth element
Androsite-(Ce),Androsite Root,"An epidote-group mineral in which Ce 3+ is dominant in A2, Mn"
Androsite-(La),Androsite Root,"An epidote-group mineral in which La 3+ is dominant in A2, Mn"
Angleso-barite,Baryte,A plumbian variety of Baryte.
Anhydrokainite,Kainite,KAINITE in allusion to its composition and relationship to Kainite
Antimonian Bismuth,Bismuth,An antimony-bearing variety of native bismuth.
Antimonian Bismuthinite,Bismuthinite,An antimony-bearing variety of bismuthinite.
Antimonian Claudetite,Claudetite,A variety of Claudetite containing significant Sb.
Antimonian Cosalite,Cosalite,An antimony-bearing variety of cosalite
Antimonian Gersdorffite,Gersdorffite,An Sb-bearing variety of Gersdorffite.
Antimonian Kobellite,Kobellite,An antimony-bearing variety of kobellite.
Antimonian Silver,Silver,A variety of Silver containing up to about 5% of antimony
Antimonian Westerveldite,Westerveldite,An antimonian variety of Westerveldite
Antimonpearceite,Pearceite,Compositional relative to pearceite
Antimonselite,,With ANTIMONy and SELenium in the composition
Antitaenite,Taenite,For relationship to taenite.
Antozonite,Antozonite,"After a theoretical compound called antozone, which was considered responsible for the odor of the material."
Arcubisite,,"For the major metallic elements in the mineral: ARgentum, silver; CUprum, copper; BISmuth and Sulfur."
Ardennite-(As),Ardennite,The AsO4-analogue of (the less common) ardennite-(V)
Ardennite-(V),Ardennite,The VO4-analogue of ardennite-(As) and the Ca-analogue of kannanite
Argentian Bindheimite,Bindheimite,An argentian variety of Bindheimite
Argentian Covellite,Covellite,A silver-bearing variety of covellite.
Argentian Enargite,Enargite,A silver-bearing variety of enargite.
Argentian Lillianite,Lillianite,A variety of Lillianite
Argentian Mercurian Gold,Gold,"A variety of gold, containing up to 31 weight percent of silver and up to 15 weight percent of mercury."
Argentian Oulankaite,Oulankaite,A silver-bearing variety of oulankaite.
Argentian Pentlandite,Pentlandite,An argentian variety of pentlandite.
Argentian Tetrahedrite,Tetrahedrite,A variety of Tetrahedrite
Argentian Wittichenite,Wittichenite,A silver-bearing variety of wittichenite.
Argentian Wittite,Wittite,A variety of Wittite
Argentiferous Anglesite,Anglesite,A silver-bearing variety of anglesite.
Argentiferous Auriferous Tetrahedrite,Tetrahedrite,A silver and gold bearing variety of tetrahedrite.
Argentiferous Bismuthinite,Bismuthinite,A variety of Bismuthinite
Argentiferous Bornite,Bornite,A silver-bearing variety of bornite.
Argentiferous Cerussite,Cerussite,A silver-bearing variety of cerussite.
Argentiferous Chalcocite,Chalcocite,A silver-bearing variety of chalcocite.
Argentiferous Galena,Galena,Silver-bearing galena
Argentiferous Galenobismutite,Galenobismutite,A variety of Galenobismutite
Argentiferous Pyrolusite,Pyrolusite,Apparently a silver-bearing variety of pyrolusite.
Argentiferous Tennantite,Tennantite,A silver bearing variety of tennantite.
Argentiferous Ustarasite,Ustarasite,A variety of ustarasite that contains up to about 5% (w/w) of silver.
Argentiferous Xilingolite,Xilingolite,A variety of xilingolite that contains up to about 6% (w/w) of silver.
Argentite,,Due to its chemical composition
Argentoaikinite,Aikinite,Unnecessary name for a silver-bearing aikinite
Argentoalgodonite,Algodonite,An artificial argentian Algodonite
Argentocosalite,Cosalite,Unnecessary name for a Ag-bearing cosalite.
Argentocuproauride,Cuproauride,Unnecessary name for an Argentian Cuproauride
Argentocuproaurite,,Due to its chemical composition
Argentocuproaurite-II,Argentocuproaurite,As a variety of Argentocuproaurite
Argentocuprocosalite,Cosalite,Unnecessary name for Ag- and Cu-bearing cosalite.
Argentodomeykite,Domeykite,An artificial variety of Domeykite
Argentodufrénoysite,Dufrénoysite,Ag analogue of dufrénoysite
Argentogoongarrite,Goongarrite,Unnecessary name for an argentian variety of heyrovskýite.
Argentojarosite,Jarosite,"As the silver, argentum, analog of jarosite."
Argentoliveingite,Liveingite,Ag analogue of liveingite
Argentonuffieldite,Nuffieldite,Silver-bearing variety of nuffieldite.
Argentopentlandite,Pentlandite,For the similarity in composition to pentlandite.
Argentopyrite,Pyrite,For its composition and physical similarity to pyrite.
Argentotennantite,Tennantite,For the chemical composition and by analogy to tennantite.
Argentotennantite-(Zn),Tennantite,For the relation to Tennantite.
Argentotetrahedrite,Tetrahedrite,For the chemical composition and by analogy to tetrahedrite.
Argentotetrahedrite-(Fe),Tetrahedrite,For the relation to tetrahedrite.
Arisite-(Ce),Arisite Group,Ce-analogue of arisite
Arisite-(La),Arisite Group,La-analogue of arisite
Armangite,,For ARsenic and MANGanese in the composition.
Arrojadite-(BaFe),Arrojadite,Ba-Fe-rich member of the arrojadite mineral group
Arrojadite-(BaNa),Arrojadite,Ba-Na-rich member of the arrojadite mineral group
Arrojadite-(KFe),Arrojadite,K-Fe-rich member of the arrojadite mineral group
Arrojadite-(KFeNa),Arrojadite,Named after arrojadite and site occupancy of the arrojadite structure.
Arrojadite-(KNa),Arrojadite,K-Na-rich member of the arrojadite mineral group
Arrojadite-(NaFe),Arrojadite,Named after arrojadite and site occupancy of the arrojadite structure.
Arrojadite-(PbFe),Arrojadite,Pb-Fe-rich member of the arrojadite mineral group
Arrojadite-(SrFe),Arrojadite,Sr-Fe-rich member of the arrojadite mineral group
Arsenatian Vanadinite,Vanadinite,A variety of Vanadinite containing arsenic in substitution for V up to As:V = 1:1
Arsenatrotitanite,Titanite,For being the Na and As analogue of titanite
Arsenbrackebuschite,Brackebuschite,As the arsenate analog of brackebuschite.
Arsendescloizite,Descloizite,As the arsenate analog of descloizite.
Arsenian Pyrite,Pyrite,An arsenic-bearing variety of pyrite.
Arsenian Renierite,Renierite,Related to renierite by replacing half of Ge by As
Arsenian Silver,Silver,A variety of Silver containing up to about 7% of Arsenic.
Arsenical Tetrahedrite,Tetrahedrite,A variety of Tetrahedrite
Arsenmarcobaldiite,Marcobaldiite,As the arsenate analog of Marcobaldiite
Arsenmedaite,Medaite,The arsenic analogue of medaite
Arsenobismite,,Named for it's composition.
Arsenocrandallite,Crandallite,"For arsenic in the composition, and relation to crandallite."
Arsenoferrite,,Due to its chemical composition
Arsenoflorencite-(Ce),Arsenoflorencite Root,"As the arsenic analog of florencite and for the dominant rare earth element, cerium."
Arsenoflorencite-(La),Arsenoflorencite Root,For the La-dominant analog of arsenoflorencite-(Ce).
Arsenoflorencite-(Nd),Arsenoflorencite Root,"Named as the arsenic analog of florencite and the dominant rare earth element, Neodymium"
Arsenofriedelite,Friedelite,As-bearing variety of friedelite.
Arsenogorceixite,Gorceixite,For its arsenic content and relation to gorceixite.
Arsenogoyazite,Goyazite,"For arsenic in the composition, and its relation to goyazite."
Arsenohauchecornite,Hauchecornite,"For arsenic in the composition, and its relation to hauchecornite group"
Arsenohopeite,Hopeite,"For the relationship to hopeite, as its arsenate analogue."
Arsenolamprite,,For ARSENic in the composition
Arsenolite,,For ARSENic in the composition
Arsenopalladinite,Palladinite,For the composition.
Arsenopyrite,Pyrite,A contraction of arsenical pyrites
Arsenosulvanite,Sulvanite,For the chemical relation with sulvanite.
Arsenovanmeersscheite,Vanmeersscheite,An arsenate equivalent of vanmeersscheite
Arsenowagnerite,Wagnerite,"For the relationship to wagnerite, as its arsenate analogue."
Arsenowaylandite,Waylandite,Named as the arsenate analog of waylandite.
Arsenpolybasite,Polybasite,For the chemical composition and close relation to polybasite.
Arsenquatrandorite,Andorite IV,For the chemical composition and close relation to Andorite IV
Arsensulfurite,Sulfurite,An arsenic-rich sulfurite.
Arsentsumebite,Tsumebite,As the arsenate analog of tsumebite.
Arsenudinaite,Udinaite,The As analogue of udinaite.
Arsenuran,Uraninite,Arsenoan uraninite
Arsenuranospathite,Uranospathite,As the arsenate analog of uranospathite.
Arsenuranylite,Phosphuranylite,For ARSENic and URANium in its composition and probable relation to phosphuranylite.
Arsmirandite,,"The name reflects the mineral being an arsenate and mirand(a) word of Latin origin, meaning ""worthy of admiration"""
Asbecasite,,"For elements in the composition, As, Be, Ca, Si."
Asbeferrite,,A synonym of Asbestos that was earlier considered as Fe analogue
Ashcroftine-(Ce),Ashcroftine-(Y),the Ce-analogue of ashcroftine-(Y).
Auricupride,,For the composition.
Auriferous Chalcopyrite,Chalcopyrite,A gold-bearing variety of chalcopyrite
Auriferous Galena,Galena,A gold-bearing variety of galena.
Auriferous Limonite,Limonite,A gold-bearing variety of limonite.
Auriferous Linnaeite,Linnaeite,A gold-bearing variety of linnaeite.
Auriferous Pyrite,Pyrite,A gold-bearing variety of pyrite. Possibly a mixture of Pyrite with native gold inclusions.
Aurihydrargyrumite,,"Named after its chemical composition, being a natural amalgam of gold (Latin: aurum) and mercury (Latin: hydrargyrum)."
Aurosmiridium,Iridium,A solid solution of Gold and Osmium in cubic Iridium.
Aurostibite,,"Named after its chemical composition, containing gold (Latin: aurum) and antimony (Latin: stibium)"
Axinite-(Fe),Axinite,"For dominant iron in the composition, and its membership in the axinite group."
Axinite-(Mg),Axinite,"For dominant magnesium in the composition, and its membership in the axinite group."
Axinite-(Mn),Axinite,"For dominant manganese in a mineral of the axinite group, named from the Greek for axe after their sharp crystal forms."
Babefphite,,"For BArium, BEryllium, Fluorine, and PHosphorous in the composition."
Bafertisite,,"For elements in the composition, BArium, iron (FERrum), TItanium, and SIlicon."
Baileychlore,Chlorite,
Balipholite,,"For BArium and LIthium in the composition, and the Chinese for fibrous, in allusion to its structure."
Banalsite,,"Derived from the chemical symbols for the major constituents, Ba, Na, Al, Si."
Barahonaite-(Al),Barahonaite Root,For its mineralogical and compositional relationship with barahonaite
Barahonaite-(Fe),Barahonaite Root,For its mineralogical and compositional relationship with barahonaite
Barian Betafite (of Mironov & Gofman),Betafite,"Variety of ""betafite"" with content of BaO 21 wt.% and more."
Barian Celestine,Celestine,A barium-rich variety of Celestine
Barian Goyazite,Goyazite,A barian variety of Goyazite.
Barian Heulandite,Heulandite,A barian variety of Heulandite.
Barian magnetoplumbite,Magnetoplumbite,A variety of Magnetoplumbite
Barian Muscovite,Muscovite,A barium-rich variety of muscovite.
Barian Orthoclase,Orthoclase,A variety of Orthoclase
Barian Tomichite,Tomichite,Ba-rich variety of Tomichite
Barian Volborthite,Volborthite,A barium-bearing variety of volborthite.
Barian-Chromian Muscovite,Muscovite,A barium- and chromium-bearing muscovite.
Barian-Titanian Biotite,Mica,A barium- and titanium-bearing biotite mica.
Baricalcite,Calcite,Name for a barian variety of Calcite.
Bario-olgite,Olgite,Reflects the dominant presence of BARI um in the composition and the relation to olgite.
Bario-orthojoaquinite,Joaquinite,"For its BARIum content, ORTHOrhombic symmetry, and membership in the joaquinite group."
Barioferrite,,"For the composition, containing barium and iron (Latin = ferrum)"
Bariomicrolite (of Hogarth 1977),Microlite,Assigned by the IMA Committee on pyrochlore nomenclature for the predominant barium content and relation to microlite in the pyrochlore group.
Barioperovskite,Perovskite,"Named for its composition, being the barium-dominant analogue of perovskite"
Bariopharmacoalumite,Pharmacoalumite,"Named in allusion to its composition, being the BARIum analogue of Pharmacoalumite, where the barium substitutes for potassium"
Bariopharmacosiderite,Pharmacosiderite,"Named in allusion to its composition, reflecting the dominant barium and its relationship to pharmacosiderite"
Bariopyrochlore,Pyrochlore Group,Assigned by the IMA Committee on pyrochlore nomenclature for the predominant barium content and membership in the pyrochlore group.
Bariopyrochlore (of Hogarth 1977),Pyrochlore Group,For the predominant barium content and membership in the pyrochlore group
Bariosincosite,Sincosite,Named for its relationship to sincosite
Barium-Adularia,Adularia,A variety of Adularia
Barium-Albite,Albite,"A variety of Plagioclase with Albite 44%, Anorthite 42% and Celsian 14%."
Barium-Anorthite (of Nockolds and Zies),Anorthite,A barian anorthite with 3.5% BaO.
Barium-Lamprophyllite,Lamprophyllite,According to high barium content
Barium-Phlogopite,Phlogopite,A barian Phlogopite with 1 and more % BaO.
Barium-Sanidine,Sanidine,A barian Sanidine variety with 5% BaO.
Barium-Vanadium-Muscovite,Muscovite,A barian vanadian variety of Muscovite.
Barium-zinc-alumopharmacosiderite,Pharmacosiderite,Named as the Ba and Zn analog of pharmacosiderite.
Bariumbannisterite,Bannisterite,Named as the barium analog of bannisterite.
Barysilite,,for SILicon in its composition.
Baryt-Hedyphane,Hedyphane,A variety of Hedyphane
Barytbiotite,Biotite,A barian variety of Phlogopite (not Biotite).
Barytoanglesite,Anglesite,A barian variety of Anglesite.
Barytocalcite,Calcite,For barium with calcium and carbonate (calcite) in its composition
Barytolamprophyllite,Lamprophyllite,For the BARium in its composition and its relation to lamprophyllite.
Barytosulfate of Strontian,Celestine,A barium-bearing variety of celestine.
Basaluminite,Aluminite,As a BASic sulphate of ALUMINum.
Bastnäsite-(Ce),Bastnäsite,Cerium analogue of Bastnäsite-(La) and Bastnäsite-(Y)
Bastnäsite-(La),Bastnäsite,For its relation to bastnäsite-(Ce) and dominant lanthanum in its composition.
Bastnäsite-(Nd),Bastnäsite,For a member of the bastnäsite group with neodymium as the dominant rare earth element.
Bastnäsite-(Y),Bastnäsite,Yttrium analogue of Bastnäsite-(Ce) and Bastnäsite-(La)
Batiferrite,,"Named in allusion to its chemical composition, containing BArium, TItanium and iron (Latin = FERRium)"
Batisite,,"For Ba, Ti, Si in the composition."
Batisivite,,"For its major cations (Ba, Ti, Si, V)."
Baumhauerite II,Baumhauerite,For its similarity to baumhauerite.
Bauranoite,,For BArium and URANium in the composition.
Bavsiite,,"For Ba, V, Si in the composition."
Bazirite,,For BArium and ZIRconium in the composition.
Bearsite,,For BEryllium and ARSenic in the composition.
Beaverite-(Cu),Beaverite,As the Cu-analogue of beaverite-(Zn)
Beaverite-(Zn),Beaverite,As the Zn-analogue of beaverite-(Cu)
Behoite,,"For beryllium, Be, and hydroxyl, OH, in its composition."
Belovite-(Ce),Belovite,The cerium analogue of belovite-(La)
Belovite-(La),Belovite,For lanthanum dominant over cerium and its relation to belovite-(Ce).
Berborite,,For BERyllium and BORate in the composition.
Beryllian Epidote,Epidote,A beryllium-bearing variety of epidote.
Beryllian Margarite,Margarite,A beryllium-rich variety of margarite
Beryllian Sapphirine,Sapphirine,A beryllium-bearing variety of sapphirine.
Beryllite,,In allusion to the BERYLLium in its composition.
Beryllium vesuvianite,Vesuvianite,A beryllium-bearing vesuvianite.
Beryllonite,,"For one of the major constituents in the composition, BERYLLium."
Betalomonosovite,Lomonosovite,A Na-poor OH-bearing analogue of lomonosovite.
Betpakdalite-CaCa,Betpakdalite,For a Ca mineral showing some relation to betpakdalite.
Betpakdalite-CaMg,Betpakdalite,For a Ca-Mg mineral showing some relation to betpakdalite.
Betpakdalite-FeFe,Betpakdalite,For a iron-bearing mineral showing some relation to betpakdalite.
Betpakdalite-NaCa,Betpakdalite,For a sodium-bearing mineral showing some relation to betpakdalite.
Betpakdalite-NaNa,Betpakdalite,For a potassium-bearing mineral showing some relation to betpakdalite.
Beusite-(Ca),Beusite,The Ca analogue of beusite
Biphosphammite,,As a BIPHOSPHate of AMMonium.
Biraite-(Ce),,"The dominant rare earth element, Cesium"
Bismite,,For BISMuth in its composition.
Bismoclite,,"In allusion to its composition, a bismuth oxychloride."
Bismuthian Antimony,Antimony,A bismuth-bearing variety of native antimony.
Bismuthian Gold,Gold,A variety of gold containing several weight percent of bismuth
Bismuthian Palladian Melonite,Melonite,A variety of Melonite
Bismuthian Ramdohrite,Ramdohrite,A variety of Ramdohrite
Bismuthian Stibarsen,Stibarsen,A bismuth-bearing variety of Stibarsen.
Bismuthian Stibiotantalite,Stibiotantalite,A variety of Stibiotantalite
Bismuthian Tennantite,Tennantite,A bismuthian variety of tennantite.
Bismuthian Tetrahedrite,Tetrahedrite,A bismuthian variety of Tetrahedrite.
Bismuthiferous Galena,Galena,A variety of galena containing up to 16 weight percent of bismuth.
Bismuthinite,,From the composition
Bismutite,,In allusion to bismuth in the composition
Bismutocolumbite,Columbite-Tantalite Series,For BISMuth in its composition and relation to minerals of the columbite-tantalite series.
Bismutoferrite,,"Named in allusion to its composition, containing BISMUTh and iron, (Latin = FERRum)."
Bismutohauchecornite,Hauchecornite,"Named in allusion to its composition, containing BISMUTh and for the relation to hauchecornite."
Bismutomicrolite (of Hogarth 1977),Microlite,Assigned by the IMA Committee on pyrochlore nomenclature for the predominant bismuth content and relation to microlite in the pyrochlore group.
Bismutopyrochlore (of Chukanov et al.),Pyrochlore Group,For a bismuth-containing member of the stibiconite group.
Bismutosmaltin,Smaltite,A name applied to a bismuthian variety of smaltite.
Bismutostibiconite,Stibiconite,For a bismuth-containing member of the stibiconite group.
Bismutotantalite,Tantalite,"For BISMuth in its composition, and relation to tantalite."
Bitikleite-(SnAl),Bitikleite,First named Bitikleite-(SnAl) name was changed to Bitikleite.
Bitikleite-(SnFe),Bitikleite,A Sn- and Fe-analogue of Bitikleite
Bitikleite-(ZrFe),Bitikleite,A Zr- and Fe-analogue of Bitikleite
Boracite,,"Named in allusion to the composition, containing BORon."
Boralsilite,,"Named after its composition, containing BORon, ALuminum, and SILicon."
Borcarite,,For BORate and CARbonate in the composition.
Borocookeite,Cookeite,Named in allusion to the composition and its relationship to Cookeite. Al is replaced by B relative to cookeite.
Boromullite,Mullite,Recognizes boron as an essential constituent and for its relationship to mullite.
Boromuscovite,Muscovite,Presumably for the BOROn content and relation to muscovite.
Brass Ore,,Due to its chemical composition having copper and zinc that can be used for brass alloy
Brewsterite-Ba,Brewsterite,The Ba-dominant member of the Brewsterite series.
Brewsterite-Sr,Brewsterite,The Sr-dominant member of the Brewsterite series.
Britholite-(Ce),Britholite,"The suffix ""-(Ce)"" refers to the dominance of cerium in the composition."
Britholite-(La),Britholite,For its chemical relation to britholite and dominant La in its composition.
Britholite-(Y),Britholite,For its chemical relation to britholite-(Ce) and dominant yttrium in its composition.
Brizziite-III,Brizziite,Due ti its relation to Brizziite
Brom-bischofite,Bischofite,Artificial Bromine analogue of Bischofite
Bromargyrite,,"For BROMine and the Greek for silver, ""argyros"", in its composition."
Bromboracit,Boracite,Artificial Bromine analogue of Boracite
Brombotallackite,Botallackite,Artificial bromine analogue of Botallackite
Bromcarnallite,Carnallite,A bromian Carnallite
Bromian Chlorargyrite,Chlorargyrite,A Br-bearing variety of chlorargyrite.
Bussyite-(Ce),Bussyite-(Y),"The ""-(Ce)"" suffix is in allusion to cerium being the dominant rare earth element in the species."
Bussyite-(Y),Bussyite-(Ce),The Y analog of bussyite-(Ce)
Bustamite,Ferrobustamite,
Byelorussite-(Ce),,"The ""-(Ce)"" suffix is in allusion to cerium being the dominant rare earth element in the species."
Ca- and Sr-rich Baryte,Baryte,A variety of Baryte
Ca-bearing Pyromorphite,Pyromorphite,"A ""calcium-bearing variety of pyromorphite"""
Ca-bearing Queitite,Queitite,A calcian variety of queitite observed as chalky white replacing alamosite
Ca-Huréaulite,Hureaulite,As a Ca analogue of Huréaulite
Ca-rich Siderite,Siderite,"A calcian siderite, with up to 20 mol% of calcite."
Cadmium Ochre,,Due to its Cd composition and ochre appearence
Cadmium Smithsonite,Smithsonite,As a Cd-variety of Smithsonite
Cadmoindite,Indite,As the cadmium analogue of indite.
Cadmoselite,,For the presence of cadmium and selenium.
Cadmoxite,,Originally named for the supposed chemical composition (cadmium oxide). Later both mineral and name were withdrawn when it was recognised that the material is uraninite.
Caesiumpharmacosiderite,Pharmacosiderite,As the Caesium analogue of pharmacosiderite.
Cafarsite,,"For elements in the composition, CAlcium, iron (Ferrum), and ARSenic."
Cafetite,,"For CAlcium, iron (FErrum), and TITanium in the composition."
Calamine,,"Middle English calamyn ore of zinc, from Medieval Latin calamina, alteration of Latin cadmia"
Calcareobarite,Baryte,A calcian variety of Baryte.
Calcian Annabergite,Annabergite,A calcium-bearing variety of Annabergite.
Calcian Elpidite,Elpidite,A variety of Elpidite
Calcian Mimetite,Mimetite,"A calcium-bearing Mimetite, with calcium substituting for lead."
Calcian Seidozerite,Seidozerite,A calcian variety of Seidozerite.
Calcian Sérandite,Sérandite,A variety of Sérandite especially rich in calcium.
Calcian Wulfenite,Wulfenite,A calcium-bearing variety of Wulfenite with Ca substituting for Pb up to at least Ca:Pb = 1:1.7.
Calciborite,,"For the essential chemical components, CALCIum and BORon."
Calcinaksite,Manaksite,"For the essential chemical components, CALCIum, NA, K, SIlicon."
Calcio-duftite,Duftite,Ca-bearing variety of duftite
