mineral_id,type,note
ec58e0f7-2dc1-4f66-937c-63bd2e004229,16,"A variety of calcite determined by the crystal shape and color, i.e., large, very thin, tabular white crystals, purportedly resembling angels' wings."
dc4ad41e-996b-4361-ac0b-fe6814f90aba,2,A plumbian variety of Baryte.
2333b41e-2966-4021-8b68-20487ece6007,2,KAINITE in allusion to its composition and relationship to Kainite
ee290ddf-454d-483b-9f2a-5f40c984aef3,18,For the mineral's triclinic (anorthic) symmetry and dimorphous relation to orpiment
aaab8a52-e3a3-40ca-bdc8-29450df9235f,18,An unnecessary name for a variety of Anorthoclase with the tabular habit of sanidine but the optical extinction of Anorthoclase.
f4e91866-881f-486b-99b2-508957ab57f8,18,Named for being the triclinic polymorph of minasragrite
a3b8b433-8ecc-4e6a-afd0-ef09375dce8b,2,An antimony-bearing variety of native bismuth.
5624ac15-b4a7-49d8-a0e5-e03c970e6856,2,An antimony-bearing variety of bismuthinite.
5ff3d146-dafc-43fb-a859-2d065d2130a0,2,A variety of Claudetite containing significant Sb.
0f65bcd7-22f6-4e6c-bbb1-33245d0ca4f9,2,An antimony-bearing variety of cosalite
bb3594ab-b093-46f0-93dc-96d8085f3d6f,2,An Sb-bearing variety of Gersdorffite.
abd74767-8bac-4381-a59f-2f06b48d5523,2,An antimony-bearing variety of kobellite.
9c68f80d-0c79-441d-b6af-5369696baecf,2,A variety of Silver containing up to about 5% of antimony
19f89c54-8881-4aca-a240-6a0857e843bf,2,An antimonian variety of Westerveldite
51662559-ba33-4011-a48e-0ad0ce84daca,2,Compositional relative to pearceite
11b5db3d-fc40-4360-8a14-6d45a443cf66,2,With ANTIMONy and SELenium in the composition
8791bc81-f563-4be9-8128-feb1a758180e,2,For relationship to taenite.
d4400e28-e703-4699-8cf7-133b4428e9d5,2,"After a theoretical compound called antozone, which was considered responsible for the odor of the material."
2297d9b6-1177-4bda-a2c0-c6557ffb3c9b,11,"The name ""Apache tear"" comes from a legend of the Apache tribe: about 75 Apaches and the US Cavalry fought on a mountain overlooking what is now Superior, Arizona in the 1870s. Facing defeat, the outnumbered Apache warriors rode their horses off the mountain to their deaths rather than be killed. The wives and families of the warriors cried when they heard of the tragedy,their tears turned into stone upon hitting the ground."
ff263981-07f7-402f-92b5-26e2114efa9b,6,"For the Apache Indians who inhabit the region in Arizona, USA, where it occurs."
28e6567b-e212-4950-9e53-ccf5597cb125,4,"Fossilized wood where the replacement of the wood is by phosphates, principally apatite."
8801ebfd-d5cb-4099-b56f-4c919310cb41,3,Apricot-coloured Quartz pebbles.
a2d2d703-9782-450f-9388-c770814a3420,3,Aqua Aura Quartz is named for its blue coloring similar to aquamarine.
f9278891-a4af-4561-9f96-496b40ad5268,14,On account of the craccing sound it emits when thrown into water
27e4cd86-1362-43d2-9b5e-7705451f005b,16,A gem name for a fibrous variety of aragonite. In allusion to the satiny luster and its original identity as a spar mineral.
cfdfabf3-5c2d-4fb6-a65b-c4466ab3ba46,2,"For the major metallic elements in the mineral: ARgentum, silver, CUprum, copper, BISmuth and Sulfur."
b975385a-ba91-4dd4-b82a-b909ce6a55bf,2,The AsO4-analogue of (the less common) ardennite-(V)
4d5b0f89-24d1-41a6-8625-12bb58c89d08,2,The VO4-analogue of ardennite-(As) and the Ca-analogue of kannanite
4cf1b99a-0274-4503-a90a-5a4e21e57944,2,An argentian variety of Bindheimite
1faf66d4-0c09-408f-af45-dff7f3cb7dcc,2,A silver-bearing variety of covellite.
cf8a34e3-039e-4e95-b891-993e38176846,2,A silver-bearing variety of enargite.
aa8053cf-ba1b-4744-adc5-36e195e3e6ce,2,A variety of Lillianite
fc6207f7-6e82-4be8-af37-878b20acfe61,2,"A variety of gold, containing up to 31 weight percent of silver and up to 15 weight percent of mercury."
5fb256bd-9cbe-4cb1-82a3-3e6833067fba,2,A silver-bearing variety of oulankaite.
636c5f05-ebe4-498f-90d5-553f689318b4,2,An argentian variety of pentlandite.
02613916-3961-4980-9119-ec1a0f24c764,2,A variety of Tetrahedrite
ff909d4f-a539-4ef4-8eca-73b252985ae1,2,A silver-bearing variety of wittichenite.
25e10908-f282-4c3b-82de-0f8b65adea85,2,A variety of Wittite
bfa3b590-e839-4b50-9b83-be41e48e3e5d,2,A silver-bearing variety of anglesite.
c4089c5d-ac49-44ff-a7c3-78c8405682b3,2,A silver and gold bearing variety of tetrahedrite.
f18b957a-e5e5-4494-96ba-9576de00e90b,2,A variety of Bismuthinite
9c9ec87e-6e88-4a54-aa16-78bda927e11a,2,A silver-bearing variety of bornite.
2fcb70d3-383e-4a50-9a54-e37f37cdd06e,2,A silver-bearing variety of cerussite.
b2ac3281-e7f9-4c2a-b46d-8559fa6f4f9e,2,A silver-bearing variety of chalcocite.
5542d2a3-389d-4f29-acbc-054e5cf54e72,2,Silver-bearing galena
c22ce85e-c9bf-4ac2-b1bc-a595a4809f86,2,A variety of Galenobismutite
d9dff67b-a595-4709-843c-e2c70c6f67e5,2,Apparently a silver-bearing variety of pyrolusite.
8c67b135-f236-48fa-b8d4-30acb330686a,2,A silver bearing variety of tennantite.
1095083e-8ee2-4603-b4fd-3cc15c897c4b,2,A variety of ustarasite that contains up to about 5% (w/w) of silver.
e7cfd88f-e8ef-470b-8e68-8ecac89cb432,2,A variety of xilingolite that contains up to about 6% (w/w) of silver.
ae5a4bd8-050c-4950-8c96-afabf0e45816,8,Due to a silvery lustre.
2b86d179-a413-439c-9749-2dc56856ee34,2,Due to its chemical composition
b9e15648-339b-4a73-989c-3dafb51083bd,2,Unnecessary name for a silver-bearing aikinite
67fc3d8e-7628-401f-b252-c0685ab7cfc3,2,An artificial argentian Algodonite
c9603c48-dd28-4e0b-bddc-0d119d574c7b,18,"Argentobaumhauerite replaces the former ""baumhauerite-2a"""
bee4ad75-63a2-4144-be80-79756805d0e9,2,Unnecessary name for a Ag-bearing cosalite.
3d7ba3eb-e4ae-40cb-b9fe-1d5c73943fb1,2,Unnecessary name for an Argentian Cuproauride
3795ed6d-8d43-4b5c-ba5e-325f39987ec0,2,Due to its chemical composition
55ba0b7b-26f8-486e-b213-2a281ec18bda,2,As a variety of Argentocuproaurite
1094b758-0e73-4012-b189-e9fc70660f0a,2,Unnecessary name for Ag- and Cu-bearing cosalite.
b16d91d3-20ae-43c1-9273-63a8d0c4fe8a,2,An artificial variety of Domeykite
2010231e-8c29-43b3-8077-76c4694c9e1f,2,Ag analogue of dufrénoysite
b1b7721d-9281-4863-88c9-521a789c35b5,2,Unnecessary name for an argentian variety of heyrovskýite.
78c2bdd0-06fe-4ffd-81e5-a64e22426c3d,2,"As the silver, argentum, analog of jarosite."
a19a6ab7-0fef-4347-a681-fe42d7224a62,2,Ag analogue of liveingite
06b2df40-0a6a-4907-a288-3f37c43de107,2,Silver-bearing variety of nuffieldite.
5d7a5b24-0b71-46a8-b820-bc7363c854bc,2,For the similarity in composition to pentlandite.
c57d9eb4-4bb7-43aa-9c76-918d15fc9412,2,For its composition and physical similarity to pyrite.
99f73dd9-6cdd-4c15-b72a-a23b41874852,2,For the chemical composition and by analogy to tennantite.
26db482c-b102-4b31-9545-055e7053a64b,2,For the relation to Tennantite.
cac9bfb2-1dce-4ce0-ad36-2a5e75299620,2,For the chemical composition and by analogy to tetrahedrite.
63c83e57-687c-4984-9de9-73da3f640973,2,For the relation to tetrahedrite.
c526f7c4-0687-4287-be36-71adca4326a5,11,"After Uranus’s son ""Arges"", one of the three Cyclops who were helpers of Hephaistos, the ancient Greek god of fire (Vulcanus for the ancient Romans) whose workshops were alleged to be located at Vulcano island (or Etna)"
3efc52f0-0ebc-41e5-a9d1-462a977142a4,2,Ce-analogue of arisite
5a921a7a-ebcb-4707-9455-28d5d0c0e163,2,La-analogue of arisite
287cf7f3-c15c-4d8d-b641-c055c4fbde3e,16,Due to similarity to ruby
d3dd485c-c4df-4371-a1c1-02e7297f8f97,16,A cluster of clear Quartz crystals in a candle-like formation
d00c26ea-2104-48e7-a705-ae7929da5b5f,16,Due to similarity to diamond
a3ed5492-4401-4590-bf1c-67b800e8282b,2,For ARsenic and MANGanese in the composition.
8281a4b4-bb0f-4900-abd0-2d3580da2637,2,Ba-Fe-rich member of the arrojadite mineral group
e2496972-3a54-434e-a50b-cbc0fd2e3489,2,Ba-Na-rich member of the arrojadite mineral group
968105e0-02fb-408b-bc4e-f8bd7b87f612,2,K-Fe-rich member of the arrojadite mineral group
86718982-d464-471b-ab0e-b05a8f44a7b3,2,Named after arrojadite and site occupancy of the arrojadite structure.
0b1cbffe-0d0a-47c5-ab98-bfd19be93a87,2,K-Na-rich member of the arrojadite mineral group
96c41360-253f-4cbd-bcd9-ef08defe4ab0,2,Named after arrojadite and site occupancy of the arrojadite structure.
4e5939a6-afd0-4acf-ae3d-e768477f61b4,2,Pb-Fe-rich member of the arrojadite mineral group
0e02f8c9-ad5c-4242-8f5e-da5dcc3158d8,2,Sr-Fe-rich member of the arrojadite mineral group
3ed4d5bb-f77b-406a-b93f-c35288c72c27,4,"A synonym of arsenical Tetrahedrite or antimonal Tennantite, or mid-members in the Tetrahedrite-Tennantite (""Fahlerz"") series."
401fe23a-0a9d-46bb-a041-2d6c16c9ad9e,2,A variety of Vanadinite containing arsenic in substitution for V up to As:V = 1:1
d0602192-2976-4a29-8b38-ec27df9a6072,2,For being the Na and As analogue of titanite
89df33c0-b8b8-4c87-a3f5-50435dc9b364,2,As the arsenate analog of brackebuschite.
5de5956d-3dd6-4cc3-9f59-345bc8d272c8,2,As the arsenate analog of descloizite.
f7cae7d7-94d4-44c0-a2a0-18fe3dcd757a,2,An arsenic-bearing variety of pyrite.
218d685d-cc69-48c1-9249-3dff63c770d7,2,Related to renierite by replacing half of Ge by As
3b552263-22dc-4612-b250-159a7ca14e83,2,A variety of Silver containing up to about 7% of Arsenic.
fd4e5da7-d491-4d7b-8467-406b625d21d7,2,A variety of Tetrahedrite
f84b7389-e4dc-42bd-9817-915ccdb5fe19,2,As the arsenate analog of Marcobaldiite
e3cec28e-a704-41f8-8289-d86275813ce5,2,The arsenic analogue of medaite
b661dfea-e551-499a-b362-cc396a9133d6,2,A doubtful variety of Miargyrite
125f5049-38f5-4151-a251-6dabe30c4594,2,Named for it's composition.
18c0082c-1302-450f-9ac3-e74bb14b6ec1,2,"For arsenic in the composition, and relation to crandallite."
27a02f3f-1ce9-485b-a03b-51f6bb2c14ac,2,Due to its chemical composition
72fe820b-f729-4805-8204-8fd339475cb9,2,"As the arsenic analog of florencite and for the dominant rare earth element, cerium."
0128c25f-1bc9-4122-aa0a-c5e5f4fefb34,2,For the La-dominant analog of arsenoflorencite-(Ce).
5274da96-87aa-4d1e-b6dd-f1349341c859,2,"Named as the arsenic analog of florencite and the dominant rare earth element, Neodymium"
1b0b3965-d749-4c91-983b-a37d396fb49a,2,As-bearing variety of friedelite.
2b0607ba-64b5-472a-a2cc-d4c847a8839d,2,For its arsenic content and relation to gorceixite.
43173678-97bf-4857-97e8-643c0b175d56,2,"For arsenic in the composition, and its relation to goyazite."
5ee4c879-b5db-47a4-8ead-017ccfbf5da2,2,"For arsenic in the composition, and its relation to hauchecornite group"
a449a5f2-5b11-4e36-8d4f-89f9562d4272,2,"For the relationship to hopeite, as its arsenate analogue."
79596ca5-4837-4bc4-a572-e890c90be24f,2,For ARSENic in the composition
786797ef-9160-4ac0-a860-6a1b0043ee70,2,For ARSENic in the composition
de942213-a18c-4461-95d6-cee962b3fc56,2,For the composition.
156d6505-61b9-4694-8407-a772e79703e0,2,A contraction of arsenical pyrites
e193e81a-3541-4204-b860-fb4a743d8a03,2,For the chemical relation with sulvanite.
2da057be-aa4e-46ee-9b62-c77a5d6a452b,2,An arsenate equivalent of vanmeersscheite
2f8ad910-9aee-48d4-b86b-cb0473674c91,2,"For the relationship to wagnerite, as its arsenate analogue."
9e8148d9-a689-4d32-89e3-ab27de3b9368,2,Named as the arsenate analog of waylandite.
3f3cabf0-32e7-422f-b81a-01686bca6424,2,For the chemical composition and close relation to polybasite.
afb0cee4-842d-4c92-a2c4-0a0af02e7e8e,2,For the chemical composition and close relation to Andorite IV
b29e713c-3e24-411e-b2c0-3db96baf6a98,2,An arsenic-rich sulfurite.
81ccd94f-30dc-4cb8-9882-81825c89becb,2,As the arsenate analog of tsumebite.
86f82e02-a224-4438-a14a-540dd6ae20ed,2,The As analogue of udinaite.
cc77a9e4-1fe7-4ba6-afc0-f640a8abfbe7,2,Arsenoan uraninite
b281c499-64c5-4021-8f9c-7e454eb2c904,2,As the arsenate analog of uranospathite.
a04ef5be-ce03-4cba-b2cd-854f2553ab35,2,For ARSENic and URANium in its composition and probable relation to phosphuranylite.
3e0ea349-c5b7-4271-af7c-9a8f5104aff2,2,"The name reflects the mineral being an arsenate and mirand(a) word of Latin origin, meaning ""worthy of admiration"""
f9c98763-7588-472d-9d5d-3c52555922c8,2,"For elements in the composition, As, Be, Ca, Si."
53db57c9-eeb9-42e2-ad60-5b92842fd197,2,A synonym of Asbestos that was earlier considered as Fe analogue
f2fad477-b252-4574-a1b3-37f229d2a111,2,the Ce-analogue of ashcroftine-(Y)
de79bf2e-e03f-4234-9dda-4f5705993b91,2,Due to Y content
f49da8af-3013-4cd2-b1dd-67b343523309,3,The color does look like green asparagus spears
70272571-bc36-4635-a44c-5cbf92a304f7,12,A variety of Sapphire exhibiting the property of asterism.
06c5ec27-25e8-4193-a89d-ade6761509e9,12,A stellate radiating iron-rich variety of Augite.
