639-2,639-3,639-5,639-1,Language name(s) from ISO 639-2[1],Scope,Type,Native name(s),Other name(s)
fan,fan,,,Fang,Individual,Living,,
fao,fao,,fo,Faroese,Individual,Living,føroyskt,
fas / per*,fas,,fa,Persian,Macrolanguage,Living,فارسی,Farsi
fat,fat,,,Fanti,Individual,Living,Mfantse; Fante; Fanti,Fante
fij,fij,,fj,Fijian,Individual,Living,Na Vosa Vakaviti,
fil,fil,,,Filipino; Pilipino,Individual,Living,Wikang Filipino,
fin,fin,,fi,Finnish,Individual,Living,suomen kieli,
fiu,,fiu,,Finno-Ugrian languages,Collective,,,Finno-Ugric languages
fon,fon,,,Fon,Individual,Living,Fon gbè,
fra / fre*,fra,,fr,French,Individual,Living,français,
fre* / fra,fra,,fr,French,Individual,Living,français,
frm,frm,,,"French, Middle (ca. 1400–1600)",Individual,Historical,françois; franceis,
fro,fro,,,"French, Old (842–ca. 1400)",Individual,Historical,Franceis; François; Romanz,
frr,frr,,,Northern Frisian,Individual,Living,Frasch; Fresk; Freesk; Friisk,North Frisian
frs,frs,,,Eastern Frisian,Individual,Living,Seeltersk,Saterland Frisian
fry,fry,,fy,Western Frisian,Individual,Living,Frysk,West Frisian
ful,ful,,ff,Fulah,Macrolanguage,Living,Fulfulde; Pulaar; Pular,Fula
fur,fur,,,Friulian,Individual,Living,Furlan,
gaa,gaa,,,Ga,Individual,Living,Gã,
gay,gay,,,Gayo,Individual,Living,Basa Gayo,
gba,gba,,,Gbaya,Macrolanguage,Living,,
gem,,gem,,Germanic languages,Collective,,,
geo* / kat,kat,,ka,Georgian,Individual,Living,ქართული,
ger* / deu,deu,,de,German,Individual,Living,Deutsch,
gez,gez,,,Geez,Individual,Ancient,ግዕዝ,Ge'ez
gil,gil,,,Gilbertese,Individual,Living,Taetae ni Kiribati,
gla,gla,,gd,Gaelic; Scottish Gaelic,Individual,Living,Gàidhlig,
gle,gle,,ga,Irish,Individual,Living,Gaeilge,
glg,glg,,gl,Galician,Individual,Living,galego,
glv,glv,,gv,Manx,Individual,Living,Gaelg; Gailck,
gmh,gmh,,,"German, Middle High (ca. 1050–1500)",Individual,Historical,Diutsch,
goh,goh,,,"German, Old High (ca. 750–1050)",Individual,Historical,Diutisk,
gon,gon,,,Gondi,Macrolanguage,Living,,
gor,gor,,,Gorontalo,Individual,Living,Bahasa Hulontalo,
got,got,,,Gothic,Individual,Ancient,,
grb,grb,,,Grebo,Macrolanguage,Living,,
grc,grc,,,"Greek, Ancient (to 1453)",Individual,Historical,Ἑλληνική,
gre* / ell,ell,,el,"Greek, Modern (1453–)",Individual,Living,Νέα Ελληνικά,
grn,grn,,gn,Guarani,Macrolanguage,Living,Avañe'ẽ,
gsw,gsw,,,Swiss German; Alemannic; Alsatian,Individual,Living,Schwiizerdütsch,
guj,guj,,gu,Gujarati,Individual,Living,ગુજરાતી,
gwi,gwi,,,Gwich'in,Individual,Living,Dinjii Zhu’ Ginjik,
hai,hai,,,Haida,Macrolanguage,Living,X̱aat Kíl; X̱aadas Kíl; X̱aayda Kil; Xaad kil,
hat,hat,,ht,Haitian; Haitian Creole,Individual,Living,kreyòl ayisyen,
hau,hau,,ha,Hausa,Individual,Living,Harshen Hausa; هَرْشَن,
haw,haw,,,Hawaiian,Individual,Living,ʻŌlelo Hawaiʻi,
heb,heb,,he,Hebrew,Individual,Living,עברית,
her,her,,hz,Herero,Individual,Living,Otjiherero,
hil,hil,,,Hiligaynon,Individual,Living,Ilonggo,
him,,[note],,Himachali languages; Pahari languages,Collective,,,
hin,hin,,hi,Hindi,Individual,Living,हिन्दी,
hit,hit,,,Hittite,Individual,Ancient,𒉈𒅆𒇷,
hmn,hmn,,,Hmong; Mong,Macrolanguage,Living,lus Hmoob; lug Moob; lol Hmongb,
hmo,hmo,,ho,Hiri Motu,Individual,Living,,
hrv,hrv,,hr,Croatian,Individual,Living,hrvatski,
hsb,hsb,,,Upper Sorbian,Individual,Living,hornjoserbšćina,
hun,hun,,hu,Hungarian,Individual,Living,magyar nyelv,
hup,hup,,,Hupa,Individual,Living,Na:tinixwe Mixine:whe',
hye / arm*,hye,,hy,Armenian,Individual,Living,Հայերէն; Հայերեն,
iba,iba,,,Iban,Individual,Living,Jaku Iban,
ibo,ibo,,ig,Igbo,Individual,Living,Asụsụ Igbo,
ice* / isl,isl,,is,Icelandic,Individual,Living,íslenska,
ido,ido,,io,Ido,Individual,Constructed,,
iii,iii,,ii,Sichuan Yi; Nuosu,Individual,Living,ꆈꌠꉙ,
ijo,,ijo,,Ijo languages,Collective,,Ịjọ,Ijaw languages
iku,iku,,iu,Inuktitut,Macrolanguage,Living,ᐃᓄᒃᑎᑐᑦ,
ile,ile,,ie,Interlingue; Occidental,Individual,Constructed,,
ilo,ilo,,,Iloko,Individual,Living,Pagsasao nga Ilokano; Ilokano,Ilocano
ina,ina,,ia,Interlingua (International Auxiliary Language Association),Individual,Constructed,,
inc,,inc,,Indic languages,Collective,,,Indo-Aryan languages
ind,ind,,id,Indonesian,Individual,Living,bahasa Indonesia,
ine,,ine,,Indo-European languages,Collective,,,
inh,inh,,,Ingush,Individual,Living,ГӀалгӀай мотт,
ipk,ipk,,ik,Inupiaq,Macrolanguage,Living,Iñupiaq,
ira,,ira,,Iranian languages,Collective,,,
iro,,iro,,Iroquoian languages,Collective,,,
isl / ice*,isl,,is,Icelandic,Individual,Living,íslenska,
ita,ita,,it,Italian,Individual,Living,italiano; lingua italiana,
jav,jav,,jv,Javanese,Individual,Living,ꦧꦱꦗꦮ,
jbo,jbo,,,Lojban,Individual,Constructed,la .lojban.,
jpn,jpn,,ja,Japanese,Individual,Living,日本語,
jpr,jpr,,,Judeo-Persian,Individual,Living,Dzhidi,
jrb,jrb,,,Judeo-Arabic,Macrolanguage,Living,عربية يهودية / ערבית יהודית,
kaa,kaa,,,Kara-Kalpak,Individual,Living,Qaraqalpaq tili; Қарақалпақ тили,Karakalpak
kab,kab,,,Kabyle,Individual,Living,Tamaziɣt Taqbaylit; Tazwawt,
kac,kac,,,Kachin; Jingpho,Individual,Living,Jingpho,
kal,kal,,kl,Kalaallisut; Greenlandic,Individual,Living,,
kam,kam,,,Kamba,Individual,Living,,
kan,kan,,kn,Kannada,Individual,Living,ಕನ್ನಡ,
kar,,kar,,Karen languages,Collective,,,Karenic languages
kas,kas,,ks,Kashmiri,Individual,Living,कॉशुर / كأشُر,
kat / geo*,kat,,ka,Georgian,Individual,Living,ქართული,
kau,kau,,kr,Kanuri,Macrolanguage,Living,,
kaw,kaw,,,Kawi,Individual,Ancient,ꦧꦱꦗꦮ,
kaz,kaz,,kk,Kazakh,Individual,Living,қазақ тілі / qazaq tili,
kbd,kbd,,,Kabardian,Individual,Living,Адыгэбзэ (Къэбэрдейбзэ),
kha,kha,,,Khasi,Individual,Living,কা কতিয়েন খাশি,
khi,,khi,,Khoisan languages,Collective,,,
khm,khm,,km,Central Khmer,Individual,Living,ភាសាខ្មែរ,
kho,kho,,,Khotanese; Sakan,Individual,Ancient,,Saka
kik,kik,,ki,Kikuyu; Gikuyu,Individual,Living,Gĩkũyũ,
kin,kin,,rw,Kinyarwanda,Individual,Living,,
kir,kir,,ky,Kirghiz; Kyrgyz,Individual,Living,кыргызча; кыргыз тили,
kmb,kmb,,,Kimbundu,Individual,Living,,
kok,kok,,,Konkani,Macrolanguage,Living,कोंकणी,
kom,kom,,kv,Komi,Macrolanguage,Living,Коми кыв,
kon,kon,,kg,Kongo,Macrolanguage,Living,,
kor,kor,,ko,Korean,Individual,Living,한국어,
kos,kos,,,Kosraean,Individual,Living,,
kpe,kpe,,,Kpelle,Macrolanguage,Living,Kpɛlɛwoo,
krc,krc,,,Karachay-Balkar,Individual,Living,Къарачай-Малкъар тил; Таулу тил,
krl,krl,,,Karelian,Individual,Living,karjal; kariela; karjala,
kro,,kro,,Kru languages,Collective,,,
kru,kru,,,Kurukh,Individual,Living,कुड़ुख़,
kua,kua,,kj,Kuanyama; Kwanyama,Individual,Living,,
kum,kum,,,Kumyk,Individual,Living,къумукъ тил/qumuq til,
kur,kur,,ku,Kurdish,Macrolanguage,Living,Kurdî / کوردی,
kut,kut,,,Kutenai,Individual,Living,,
lad,lad,,,Ladino,Individual,Living,Judeo-español,Judaeo-Spanish
lah,lah,,,Lahnda,Macrolanguage,Living,بھارت کا,Western Punjabi
lam,lam,,,Lamba,Individual,Living,,
lao,lao,,lo,Lao,Individual,Living,ພາສາລາວ,
lat,lat,,la,Latin,Individual,Ancient,Lingua latīna,
lav,lav,,lv,Latvian,Macrolanguage,Living,Latviešu valoda,
lez,lez,,,Lezghian,Individual,Living,Лезги чӏал,Lezgian
lim,lim,,li,Limburgan; Limburger; Limburgish,Individual,Living,Lèmburgs,
lin,lin,,ln,Lingala,Individual,Living,,
lit,lit,,lt,Lithuanian,Individual,Living,lietuvių kalba,
lol,lol,,,Mongo,Individual,Living,Lomongo,
loz,loz,,,Lozi,Individual,Living,,
ltz,ltz,,lb,Luxembourgish; Letzeburgesch,Individual,Living,Lëtzebuergesch,
lua,lua,,,Luba-Lulua,Individual,Living,Tshiluba,Luba-Kasai
lub,lub,,lu,Luba-Katanga,Individual,Living,Kiluba,
lug,lug,,lg,Ganda,Individual,Living,Luganda,Luganda
lui,lui,,,Luiseno,Individual,Extinct,Cham'teela,
lun,lun,,,Lunda,Individual,Living,Chilunda,
luo,luo,,,Luo (Kenya and Tanzania),Individual,Living,Dholuo,
lus,lus,,,Lushai,Individual,Living,Mizo ṭawng,Mizo
mac* / mkd,mkd,,mk,Macedonian,Individual,Living,македонски јазик,
mad,mad,,,Madurese,Individual,Living,Madhura,
mag,mag,,,Magahi,Individual,Living,मगही,
mah,mah,,mh,Marshallese,Individual,Living,Kajin M̧ajeļ,
mai,mai,,,Maithili,Individual,Living,मैथिली; মৈথিলী,
mak,mak,,,Makasar,Individual,Living,Basa Mangkasara' / ᨅᨔ ᨆᨀᨔᨑ,Makassarese
mal,mal,,ml,Malayalam,Individual,Living,മലയാളം,
man,man,,,Mandingo,Macrolanguage,Living,Mandi'nka kango,Manding
mao* / mri,mri,,mi,Maori,Individual,Living,Te Reo Māori,
map,,map,,Austronesian languages,Collective,,,
mar,mar,,mr,Marathi,Individual,Living,मराठी,
mas,mas,,,Masai,Individual,Living,ɔl,
may* / msa,msa,,ms,Malay,Macrolanguage,Living,Bahasa Melayu,
mdf,mdf,,,Moksha,Individual,Living,мокшень кяль,
mdr,mdr,,,Mandar,Individual,Living,,
men,men,,,Mende,Individual,Living,Mɛnde yia,
mga,mga,,,"Irish, Middle (900–1200)",Individual,Historical,Gaoidhealg,
mic,mic,,,Mi'kmaq; Micmac,Individual,Living,Míkmawísimk,
min,min,,,Minangkabau,Individual,Living,Baso Minang,
mis,mis,,,Uncoded languages,Special,,,
mkd / mac*,mkd,,mk,Macedonian,Individual,Living,македонски јазик,
mkh,,mkh,,Mon-Khmer languages,Collective,,,Austroasiatic languages
mlg,mlg,,mg,Malagasy,Macrolanguage,Living,,
mlt,mlt,,mt,Maltese,Individual,Living,Malti,
mnc,mnc,,,Manchu,Individual,Living,ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ,
mni,mni,,,Manipuri,Individual,Living,,Meitei
mno,,mno,,Manobo languages,Collective,,,
moh,moh,,,Mohawk,Individual,Living,Kanien’kéha,
mon,mon,,mn,Mongolian,Macrolanguage,Living,монгол хэл; ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ,
mos,mos,,,Mossi,Individual,Living,Mooré,
mri / mao*,mri,,mi,Maori,Individual,Living,Te Reo Māori,
msa / may*,msa,,ms,Malay,Macrolanguage,Living,Bahasa Melayu,
mul,mul,,,Multiple languages,Special,,,
mun,,mun,,Munda languages,Collective,,,
mus,mus,,,Creek,Individual,Living,Mvskoke,Muscogee
mwl,mwl,,,Mirandese,Individual,Living,mirandés; lhéngua mirandesa,
mwr,mwr,,,Marwari,Macrolanguage,Living,मारवाड़ी,
mya / bur*,mya,,my,Burmese,Individual,Living,မြန်မာစာ; မြန်မာစကား,Myanmar
myn,,myn,,Mayan languages,Collective,,,
myv,myv,,,Erzya,Individual,Living,эрзянь кель,
nah,,nah,,Nahuatl languages,Collective,,,Nahuan languages
nai,,nai,,North American Indian languages,Collective,,,
nap,nap,,,Neapolitan,Individual,Living,napulitano,
nau,nau,,na,Nauru,Individual,Living,dorerin Naoero,Nauruan
nav,nav,,nv,Navajo; Navaho,Individual,Living,Diné bizaad; Naabeehó bizaad,
nbl,nbl,,nr,"Ndebele, South; South Ndebele",Individual,Living,isiNdebele seSewula,Southern Ndebele
nde,nde,,nd,"Ndebele, North; North Ndebele",Individual,Living,siNdebele saseNyakatho,Northern Ndebele
ndo,ndo,,ng,Ndonga,Individual,Living,ndonga,
nds,nds,,,"Low German; Low Saxon; German, Low; Saxon, Low",Individual,Living,Plattdütsch; Plattdüütsch,
nep,nep,,ne,Nepali,Macrolanguage,Living,नेपाली भाषा,
new,new,,,Nepal Bhasa; Newari,Individual,Living,नेपाल भाषा; नेवाः भाय्,Newar
nia,nia,,,Nias,Individual,Living,Li Niha,
nic,,nic,,Niger-Kordofanian languages,Collective,,,Niger-Congo languages
niu,niu,,,Niuean,Individual,Living,ko e vagahau Niuē,
nld / dut*,nld,,nl,Dutch; Flemish,Individual,Living,Nederlands; Vlaams,
nno,nno,,nn,"Norwegian Nynorsk; Nynorsk, Norwegian",Individual,Living,nynorsk,Nynorsk
nob,nob,,nb,"Bokmål, Norwegian; Norwegian Bokmål",Individual,Living,bokmål,Bokmål
nog,nog,,,Nogai,Individual,Living,Ногай тили,
non,non,,,"Norse, Old",Individual,Historical,Dǫnsk tunga; Norrœnt mál,
nor,nor,,no,Norwegian,Macrolanguage,Living,norsk,
nqo,nqo,,,N'Ko,Individual,Living,,
nso,nso,,,Pedi; Sepedi; Northern Sotho,Individual,Living,Sesotho sa Leboa,
nub,,nub,,Nubian languages,Collective,,لغات نوبية,
nwc,nwc,,,Classical Newari; Old Newari; Classical Nepal Bhasa,Individual,Historical,पुलां भाय्; पुलाङु नेपाल भाय्,
nya,nya,,ny,Chichewa; Chewa; Nyanja,Individual,Living,Chichewa; Chinyanja,
nym,nym,,,Nyamwezi,Individual,Living,,
nyn,nyn,,,Nyankole,Individual,Living,,Nkore
nyo,nyo,,,Nyoro,Individual,Living,Runyoro,
nzi,nzi,,,Nzima,Individual,Living,,Nzema
oci,oci,,oc,Occitan (post 1500); Provençal,Individual,Living,occitan; lenga d'òc; provençal,
oji,oji,,oj,Ojibwa,Macrolanguage,Living,,Ojibwe
ori,ori,,or,Oriya,Macrolanguage,Living,ଓଡ଼ିଆ,Odia
orm,orm,,om,Oromo,Macrolanguage,Living,Afaan Oromoo,
osa,osa,,,Osage,Individual,Living,Wazhazhe ie / 𐓏𐓘𐓻𐓘𐓻𐓟 𐒻𐓟,
oss,oss,,os,Ossetian; Ossetic,Individual,Living,Ирон æвзаг,
ota,ota,,,"Turkish, Ottoman (1500–1928)",Individual,Historical,لسان عثمانى / lisân-ı Osmânî,
oto,,oto,,Otomian languages,Collective,,,Oto-Pamean languages
paa,,paa,,Papuan languages,Collective,,,
pag,pag,,,Pangasinan,Individual,Living,Salitan Pangasinan,
pal,pal,,,Pahlavi,Individual,Ancient,Pārsīk; Pārsīg,Middle Persian
pam,pam,,,Pampanga; Kapampangan,Individual,Living,Amánung Kapampangan; Amánung Sísuan,
pan,pan,,pa,Panjabi; Punjabi,Individual,Living,ਪੰਜਾਬੀ / پنجابی,
pap,pap,,,Papiamento,Individual,Living,Papiamentu,
pau,pau,,,Palauan,Individual,Living,a tekoi er a Belau,
peo,peo,,,"Persian, Old (ca. 600–400 B.C.)",Individual,Historical,,
per* / fas,fas,,fa,Persian,Macrolanguage,Living,فارسی,
phi,,phi,,Philippine languages,Collective,,,
phn,phn,,,Phoenician,Individual,Ancient,𐤃𐤁𐤓𐤉𐤌 𐤊𐤍𐤏𐤍𐤉𐤌,
pli,pli,,pi,Pali,Individual,Ancient,Pāli,
pol,pol,,pl,Polish,Individual,Living,Język polski,
pon,pon,,,Pohnpeian,Individual,Living,,
por,por,,pt,Portuguese,Individual,Living,português,
pra,,pra,,Prakrit languages,Collective,,,
pro,pro,,,"Provençal, Old (to 1500); Old Occitan (to 1500)",Individual,Historical,,
pus,pus,,ps,Pushto; Pashto,Macrolanguage,Living,پښتو,
qaa-qtz,qaa-qtz,,,Reserved for local use,Local,,,
que,que,,qu,Quechua,Macrolanguage,Living,Runa simi; kichwa simi; Nuna shimi,
raj,raj,,,Rajasthani,Macrolanguage,Living,राजस्थानी,
rap,rap,,,Rapanui,Individual,Living,Vananga rapa nui,
rar,rar,,,Rarotongan; Cook Islands Maori,Individual,Living,Māori Kūki 'Āirani,
roa,,roa,,Romance languages,Collective,,,
roh,roh,,rm,Romansh,Individual,Living,Rumantsch; Rumàntsch; Romauntsch; Romontsch,
rom,rom,,,Romany,Macrolanguage,Living,romani čhib,Romani
ron / rum*,ron,,ro,Romanian; Moldavian; Moldovan,Individual,Living,limba română,
rum* / ron,ron,,ro,Romanian; Moldavian; Moldovan,Individual,Living,limba română,
run,run,,rn,Rundi,Individual,Living,Ikirundi,Kirundi
rup,rup,,,Aromanian; Arumanian; Macedo-Romanian,Individual,Living,armãneashce; armãneashti; rrãmãneshti,
rus,rus,,ru,Russian,Individual,Living,русский язык,
sad,sad,,,Sandawe,Individual,Living,Sandaweeki,
sag,sag,,sg,Sango,Individual,Living,yângâ tî sängö,
sah,sah,,,Yakut,Individual,Living,Сахалыы,
sai,,sai,,South American Indian (Other),Collective,,,
sal,,sal,,Salishan languages,Collective,,,
sam,sam,,,Samaritan Aramaic,Individual,Extinct,ארמית,
san,san,,sa,Sanskrit,Individual,Ancient,संस्कृतम्; 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍,
sas,sas,,,Sasak,Individual,Living,,
sat,sat,,,Santali,Individual,Living,ᱥᱟᱱᱛᱟᱲᱤ,
