mineral_id,language_id,meaning,stem_1,stem_2,stem_3
6a46e4c1-2578-46ff-bdf1-d7e7381152a3,516,"The male name Aklim or female Aklima, means bright by the mind, aspiring to the mineral's light colour and to the challenge of studying complex crystal structures with imperfect material. This name also honours the Turkish population in the Lakargi region where the mineral was discovered.","""Aklim"",""Alkima""=Turkish, bright by the mind",,
4670ace6-662d-486c-ada5-6a60366b4f2d,191,"Akrochordon for wart, the typical habit of the mineral.","""Akrochordon""=Greek, Ancient (to 1453), wart",,
3be3926b-1567-477d-a52f-07c296c82800,288,"Word ""albus"", white, for its colour","""Albus""=Latin, white",,
eba5f0b3-f8a2-4c42-8820-5d12cb13b28e,288,"Alburnus Major - Roman name for Rosia Montana, Romania","""Alburnus Major""=Latin, Rosia Montana",,
f7c3e29f-f546-42ed-bf07-5ff4021fffe0,191,"From the Greek ""allaktein"", to change, a reference to the strong pleochroism","""Allaktein""=Greek, Ancient (to 1453), to change",,
6cea0ed3-7998-4741-bb55-426e5b2f97c6,191,"Greek word ""allos"" for ""another"";the Latin ""argentum"", silver.","""Allos""=Greek, Ancient (to 1453), another","""Argentum""=Latin, silver",
6cea0ed3-7998-4741-bb55-426e5b2f97c6,288,"Greek word ""allos"" for ""another"";the Latin ""argentum"", silver.","""Allos""=Greek, Ancient (to 1453), another","""Argentum""=Latin, silver",
5b29b4b3-3735-4071-86a0-f04942552ac1,191,"Word for ""different"" (allos) combined with ""copper"" (chalkos) and from selenium, to reflect the different valences and crystallographic behavior of copper in this selenite mineral","""Allos""=Greek, Ancient (to 1453), another","""Chalkos""=Greek, Ancient (to 1453), copper",
7f512a22-8d68-4886-a202-5e401376b928,191,"Allos for other, and ""klasis"" to break, because its cleavage appreared to be different from marcasite, which it resembles.","""Allos""=Greek, Ancient (to 1453), another","""Klasis""=Greek, Ancient (to 1453), to break",
90f686be-dd5f-4f52-b7bc-a74b587af5aa,191,"Word for other and to appear, referring to a change of appearance under the blowpipe.","""Allos""=Greek, Ancient (to 1453), another","""Phaenesthai""=Greek, Ancient (to 1453), to appear",
9bfea618-ddba-4a09-8682-6efc98cb1d6d,191,"the Greek (""genno""), ""to create"";the Latin ""alum""","""Genno""=Greek, Ancient (to 1453), to create","""Alum""=Latin, alumina",
9bfea618-ddba-4a09-8682-6efc98cb1d6d,288,"the Greek (""genno""), ""to create"";the Latin ""alum""","""Genno""=Greek, Ancient (to 1453), to create","""Alum""=Latin, alumina",
6ee99230-0d84-464b-82b1-249a4554c6d3,191,The name Alurgite is from the Greek word halourges meaning genuine purple dye from the sea in allusion to its typical reddish-purple color.,"""Halourges""=Greek, Ancient (to 1453), genuine purple dye from the sea",,
0a7009d4-0641-4adc-8029-ee9bfa8f91ab,288,"Named for the Medieval Latin ""amalgama"" for a mercury-metal alloy, generally when the other metal is silver.","""amalgama""=Medieval Latin, a mercury-metal alloy",,
e01be53a-bded-47a4-9552-03ba6e5f0a66,191,"Word ""amaranth"", an imaginary purplish red undying flower because of its colour","""Amaranth""=Greek, Ancient (to 1453), an imaginary purplish red",,
47292278-bab0-42aa-8d8c-15fdf4831456,152,"The English word amber derives from Arabic ʿanbar عنبر‎ (cognate with Middle Persian ambar) via Middle Latin ambar and Middle French ambre. The word was adopted in Middle English in the 14th century as referring to what is now known as ambergris (ambre gris or ""grey amber""), a solid waxy substance derived from the sperm whale.","""ambergris""=Middle English, a solid waxy substance",,
2819f9b6-8fd4-47c8-a142-e7197dd47d9b,191,"(""amvlys"") for ""blunt"" and (""gonia"") for ""angle,"", for its 90 degree cleavage angle","""Amvlys""=Greek, Ancient (to 1453), blunt","""Gonia""=Greek, Ancient (to 1453), angle",
da588bbd-06d4-4564-9d6a-ec853c6a7e9b,191,"From Greek ""a-methystos"", meaning not drunk","""A-methystos""=Greek, Ancient (to 1453), not drunk",,
4e2db656-a828-4642-93aa-41bbebf51b82,191,"From Ancient Greek ἀμίαντος (amíantos, “undefiled”), from ἀ- (a-, “not”) + μιαίνω (miaínō, “I defile”).","""ἀμίαντος""=Greek, Ancient (to 1453), unpolluted",,
7b393d81-9a92-4f78-ae7a-db4c326472b1,191,"The name ""ammonite"", from which the scientific term is derived, was inspired by the spiral shape of their fossilized shells, which somewhat resemble tightly coiled rams' horns. Pliny the Elder (d. 79 AD near Pompeii) called fossils of these animals ammonis cornua (""horns of Ammon"") because the Egyptian god Ammon (Amun) was typically depicted wearing ram's horns. Often the name of an ammonite genus ends in -ceras, which is Greek (κέρας) for ""horn"".","""κέρας""=Greek, Ancient (to 1453), horn",,
52573253-a148-4421-befb-48d82c113e4f,191,"Analkimos for ""weak"", for the weak electrostatic charge developed when mineral is heated or rubbed.","""Analkimos""=Greek, Ancient (to 1453), weak",,
8fc36487-24bd-470c-bf53-4ee78979984b,191,"Anatasis meaning ""extension"", for the greater length of the usual pyramid compared with other tetragonal minerals","""Anatasis""=Greek, Ancient (to 1453), extension",,
a8bb9d74-fd53-4485-9a30-ae01ae41db8a,191,"Anhydros meaning for without water, in contast to hydrated calcium sulphate minerals","""Anhydros""=Greek, Ancient (to 1453), without water",,
2333b41e-2966-4021-8b68-20487ece6007,191,Anhydros meaning for without water,"""Anhydros""=Greek, Ancient (to 1453), without water",,
5f1207ad-79b6-4b8a-b240-f74ee9e082fb,288,"From ""anomalous"" because the mineral did not give a characteristic chemical reaction for manganese because of the co-occurring nickel and cobalt","""Anomalous""=Latin, abnormal",,
bd8c991d-e146-410f-95c5-d18127a87187,191,"Taken from the Greek for oblique, for its triclinicity","""An""=Greek, Ancient (to 1453), not","""Orthos""=Greek, Ancient (to 1453), upright",
8d678db6-8226-4e2b-aedc-ceb05df9c5a0,191,"Derived from the Greek ""an"", ""ortho"", ""clase"" meaning ""not right cleavage"", descriptive of the mineral's cleavage.","""An""=Greek, Ancient (to 1453), not","""Orthos""=Greek, Ancient (to 1453), upright","""Clase""=Greek, Ancient (to 1453), cleavage"
d2252c53-4b8a-4a00-a897-fcad5cb3f347,191,"Named ""anthophyllum"" from Latin ""clove"" derived from the Greek for ""flower"" and ""leaf"", related to the common clove-brown colour","""Anthos""=Greek, Ancient (to 1453), flower","""Phyllon""=Greek, Ancient (to 1453), leaf",
3f36353b-328f-49fc-b347-d3db5f0cacfd,191,"Anthracite derives from the Greek anthrakítēs (ἀνθρακίτης), literally ""coal-like"".","""ἀνθρακίτης""=Greek, Ancient (to 1453), coal-like",,
4d4a6a13-e45c-4b97-8ebe-6f8c928cca4b,191,"Greek word ἀντίμόνος antimonos, ""against aloneness"", explained as ""not found as metal"", or ""not found unalloyed""","""Antimonos""=Greek, Ancient (to 1453), against aloneness",,
6592baf4-e463-4b69-b47c-3d6fe20a7a94,334,"""Anyole"" is the Maasai word for green","""anyoli""=Masai, green",,
2803094f-b98f-45bb-b5c8-b406db45c329,288,From Latin aphr- foam,"""aphr""=Latin, foam",,
99484057-10c4-49fe-acad-b70c9e9e5f36,191,From the greek αφριξειν (foam) reflecting its behaviour in a blowpipe flame.,"""αφριξειν""=Greek, Ancient (to 1453), foam",,
2d9a5e8f-6536-4838-a9ba-dda6215ec613,191,"From the Greek ""aphthitos"", ""unalterable"", and ""halas"", ""salt"", in allusion to its stability in air","""Aphthitos""=Greek, Ancient (to 1453), unalterable","""Halas""=Greek, Ancient (to 1453), salt",
66b89ec5-feb3-4642-a654-0b51082dc4a3,191,"From the Greek for ""away from"" (ἀπό, apo) and ""leaf"" (φύλλον, phyllos), in allusion to the way it exfoliates upon heating.","""ἀπό""=Greek, Ancient (to 1453), away from","""φύλλον""=Greek, Ancient (to 1453), leaf",
4f765b84-6e85-4563-9238-510eb4a739c8,288,From the Latin aqua in allusion to the role of water in its composition.,"""Aqua""=Latin, water",,
a8d5332c-ec18-4fa1-b800-40f748629ccf,288,"From Latin: aqua marina, “sea water”","""aqua""=Latin, water","""marina""=Latin, sea",
d58b879a-4b65-4b9b-9f1b-362ed86b22cb,288,"From the Latin ""arcanum duplicatum"", for double secret, a medieval alchemical name.","""Arcanum duplicatum""=Latin, double secret",,
66787a96-829f-4f63-aa76-ae5337648ed5,426,"From ""Ardeal"", the old Romanian name for Transylvania.","""Ardeal""=Romanian, Transylvania.",,
f822a022-6941-4b82-99bc-303102a4bb51,191,"From the Greek ""argyrodes"" for silver-containing.","""Argyrodes""=Greek, Ancient (to 1453), silver-containing.",,
bcec0140-82b6-4dac-a3c7-fb28aeb0fd24,191,For fire and silver,"""Argyros""=Greek, Ancient (to 1453), silver","""Pyr""=Greek, Ancient (to 1453), fire",
1eeecbf5-adb5-4b54-8e47-6bcd43b14404,288,"From the Latin ""arsenicum"", earlier Greek ""arrenikos"", or ""arseniko""s, masculine, an allusion to its potent properties","""Arrenikos"",""Arsenikos""=Greek, Ancient (to 1453), masculine",,
1eeecbf5-adb5-4b54-8e47-6bcd43b14404,191,"From the Latin ""arsenicum"", earlier Greek ""arrenikos"", or ""arseniko""s, masculine, an allusion to its potent properties","""Arrenikos"",""Arsenikos""=Greek, Ancient (to 1453), masculine",,
5297277c-3e6c-448f-88e3-80303f2b45de,191,"From arsenic and the Greek ""pleion"" for more, as it added to the number of related minerals previously described.","""Arrenikos"",""Arsenikos""=Greek, Ancient (to 1453), masculine","""Pleion""=Greek, Ancient (to 1453), more",
ffeeaf0b-9b35-4853-a7cd-a8812e03be21,191,"For essential arsenic in the composition, and ""sideros"", Greek for iron","""Arrenikos"",""Arsenikos""=Greek, Ancient (to 1453), masculine","""Sideros""=Greek, Ancient (to 1453), iron",
a1982388-d469-4e84-aca8-9007437b8cc8,191,"From arsenic and the Greek for breaking, for its excellent cleavage.","""Arrenikos"",""Arsenikos""=Greek, Ancient (to 1453), masculine","""Clase""=Greek, Ancient (to 1453), cleavage",
79596ca5-4837-4bc4-a572-e890c90be24f,191,"From its composition and the Greek ""lampros"" for brilliant, in allusion to its reflectance","""Lampros""=Greek, Ancient (to 1453), brilliant",,
3e0ea349-c5b7-4271-af7c-9a8f5104aff2,288,"mirand(a) meaning ""worthy of admiration""","""Miranda""=Latin, worthy of admiration",,
1ce92ae0-6456-4d05-86c2-5f7cc24ea887,191,"The word ""asbestos"", first used in the 1600s, ultimately derives from the Ancient Greek ἄσβεστος, meaning “unquenchable” or “inextinguishable”. The name reflects use of the substance for wicks that would never burn up.","""ἄσβεστος""=Greek, Ancient (to 1453), unquenchable",,
d0096e28-aa14-4102-9e85-a02f3e5d662e,191,From the Greek for to soil like soot.,"""Asbolos""=Greek, Ancient (to 1453), carbon black",,
8cba3d9f-b23a-491b-b9bc-41952dec17f8,191,The word is derived from the Ancient Greek ἄσφαλτος ásphaltos,"""ἄσφαλτος""=Greek, Ancient (to 1453), ásphaltos",,
b46afdc4-a342-4335-8a9a-f42ba425a003,191,The word is derived from the Ancient Greek ἄσφαλτος ásphaltos,"""ἄσφαλτος""=Greek, Ancient (to 1453), ásphaltos",,
88a553e0-49a2-4adf-a219-5f4644877eab,191,"From the Greek ""aspida"", ""a shield"", and ""lithos"", ""stone"", alluding to the appearance of its crystals","""Aspida""=Greek, Ancient (to 1453), a shield","""Lithos""=Greek, Ancient (to 1453), stone",
e8d41ed5-ae95-462c-9eb3-e7f9cf234edf,191,"From the Greek ""astro"" and ""kyanos"", alluding to the starlike habit and blue colour, and for cerium as the dominant rare-earth element.","""Astro""=Greek, Ancient (to 1453), star","""Kyanos""=Greek, Ancient (to 1453), blue",
34a12ba0-24d7-4798-bfb4-0c0614b4eaec,191,"From the Greek for ""astron"" for star and ""lite"" rock","""Astro""=Greek, Ancient (to 1453), star","""lite""=Greek, Ancient (to 1453), rock",
8680e4b9-9b99-4677-86f3-67994d91eb1b,191,"From the Greek for ""astron"" for star and ""phyllon"" for leaf, for the stellate and foliated micaceous habit","""Astro""=Greek, Ancient (to 1453), star","""Phyllon""=Greek, Ancient (to 1453), leaf",
a01448e6-1089-4b5b-91d5-155f03c105f5,191,"Derivation not explicitly stated. Probably from the Greek for incomplete, as the composition was undetermined when the mineral was first described.","""Ateles""=Greek, Ancient (to 1453), incomplete",,
936db25e-292e-4e98-9cd4-c86b54fae673,191,"From Greek ""atelis"", meaning deficient, in allusion to the Si-deficiency of the mineral.","""Atelis""=Greek, Ancient (to 1453), deficient",,
4340ac6e-2215-43bd-8eb9-011f1f26b6c6,182,"From the German for ""atlas"" for atlas appearence and ""erz"" ore","""Atlas""=German, atlas","""erz""=German, ore",
9fcb3cad-9e12-4e30-8340-fcc1ef2d9fad,191,"From the Greek ατοπος for ""unusual,"" in allusion to its rarity.","""ατοπος""=Greek, Ancient (to 1453), unusual",,
31cc1a79-99a1-427c-ba22-e06be73ca764,191,"From the Greek ""attakos"" for salmon, for the pale red colour","""Attakos""=Greek, Ancient (to 1453), salmon",,
00e35912-dea2-465c-a218-5d389f970c8a,191,"From the Greek for ""auge"" luster, for its pearly luster on the cleavage.","""Auge""=Greek, Ancient (to 1453), luster",,
de1696aa-b37f-4a6e-9cfc-17fb795a44d9,191,"From the Greek ""auge"" for luster, apparently based on the appearance of its cleavage surface","""Auge""=Greek, Ancient (to 1453), luster",,
ffb281e5-f033-4214-a350-4aa874f30909,288,"From the Latin ""auri"" (golden yellow) and ""acus"" (needle), in reference to its colour and habit.","""Auri""=Latin, golden yellow","""Acus""=Latin, needle",
1e1de1d3-325d-4a28-b2c0-22689b7bd4d8,288,"From the Latin for golden copper, brass, for the copper and zinc content of the mineral.","""Auri""=Latin, golden yellow","""Chalkos""=Greek, Ancient (to 1453), copper",
8b748e64-b489-4804-a797-9c4d1f48875d,234,"From Italian ""a ventura"", meaning by chance","""a ventura""=Italian, by chance",,
ba5952cc-d2bb-4ab8-b3a5-d03a16547cb9,191,"From the Greek ""axina"" for axe, referring to the common crystal shape","""Axina""=Greek, Ancient (to 1453), axe",,
3fb62d44-b993-4ca9-92ed-acc85cdd03cd,407,"From the Persian lazhward, for its characteristic blue colour.","""Lazhward""=Persian, blue",,
491346ad-2f70-431c-9071-e2575538cc66,191,"From the Greek ""heavy"" and ""stone"", in allusion to its high density (specific gravity)","""Barys""=Greek, Ancient (to 1453), heavy","""Lithos""=Greek, Ancient (to 1453), stone",
dd143d02-5955-40e2-9ec3-bb614c449570,191,From the Greek for heavy and for SILicon in its composition.,"""Barys""=Greek, Ancient (to 1453), heavy",,
26b895c1-6651-4c71-b463-21f7227361db,191,"From the Greek for weight, in allusion to the high specific gravity","""Barys""=Greek, Ancient (to 1453), heavy",,
1791da82-4375-409a-90eb-721790329e98,288,"From modern Latin Batrachia, former name of the zoological order Anura, from Greek βατραχεια, neuter plural of adjective from βατραχος ‘frog’.","""Batrachia""=Latin, frog",,
f277707c-7e30-4564-8540-940f82eadbf3,191,"Possibly from the Greek ""beryllos"" which referred to a number of blue-green stones in antiquity.","""Beryllos""=Greek, Ancient (to 1453), blue-green",,
c28b7647-a1f4-416e-8ff0-4a0a539688c3,182,"From the German ""weisse masse"", later ""wismuth"", white mass","""Wismuth""=German, white mass",,
4c7f70f6-71cb-4708-8cb5-132111622063,439,"The expression ""bitumen"" originated in the Sanskrit words jatu, meaning ""pitch"", and jatu-krit, meaning ""pitch creating"" or ""pitch producing"" (referring to coniferous or resinous trees)","""jatu""=Sanskrit, pitch","""krit""=Sanskrit, producing",
60ccddff-c3c7-466a-a45b-f2ba9c26df49,182,"From the German ""blaues Bleierz"" for blue lead ore","""blaues""=German, blue","""Bleierz""=German, lead ore",
c443e432-fce6-482d-9408-0a964a463e99,182,"From the German word ""Blende"", meaning ""ore""","""Blende""=German, ore",,
52eb88f2-53ea-4bba-b65a-0b3d6fdc07bb,21,"From the Arabic ""bauraq"", meaning ""white"", which also included niter and natron of the time.","""Bauraq""=Arabic, white",,
1808e7bc-8765-404e-be87-1b6aa135dd98,169,"The name is probably derived from the old French bord or bort - ""defective""","""bort""=French, Old (842–ca. 1400), defective",,
0aedf989-683c-42b9-a885-464d9a31aef8,191,"From the Greek for bunch of grapes and to bear, in allusion to the globular forms exhibited by the original material.","""Botrys""=Greek, Ancient (to 1453), grape","""Genos""=Greek, Ancient (to 1453), to yield",
9bdee38b-2f54-4dab-8142-dc9420c49296,191,From the Greek for βοτρυξ = bunch of grapes in allusion to the botryoidal structure.,"""βοτρυξ""=Greek, Ancient (to 1453), bunch of grapes",,
fd023f03-56c4-4b34-ac07-558ee9e098ac,191,"Named after the greek ""brithos"" for weight, refering to the high specific gravity of the mineral.","""Brithos""=Greek, Ancient (to 1453), weight",,
9df125b2-03ae-4e06-94d9-6c53784dbc54,182,The expression is German and means 'buttermilk ore'.,"""Buttermilch""=German, buttermilk","""erz""=German, ore",
a70e1aeb-d811-4f47-bd5e-fe04c38c54e3,191,"From the Greek for ""byssos"" for flax and ""lite"" rock","""byssos""=Greek, Ancient (to 1453), flax","""lite""=Greek, Ancient (to 1453), rock",
78185852-a883-46d5-ad18-156b1d151262,167,"From French cacholong, said to be from Cach (“the name of a river in Bucharia”);cholon (“a Calmuck word for stone”) or from a Calmuck word meaning ""beautiful stone"".","""Cach""=French, the name of a river in Bucharia","""cholon""=Kalmyk, stone",
78185852-a883-46d5-ad18-156b1d151262,245,"From French cacholong, said to be from Cach (“the name of a river in Bucharia”);cholon (“a Calmuck word for stone”) or from a Calmuck word meaning ""beautiful stone"".","""Cach""=French, the name of a river in Bucharia","""cholon""=Kalmyk, stone",
0d730c5f-e557-4a88-86ac-70eaaf27734f,245,"The origin of the name ""cacholong"" is associated with the Kalmyk words ""kache"" (river) and ""halong"" - stone","""kache""=Kalmyk, river","""halong""=Kalmyk, stone",
1ea752ce-77b3-4e63-9882-028959717071,191,"From the Greek ""cacos"" for ""bad"" and ""xenos"" for ""guest"" due to the fact that the phosphorous content of cacoxenite lessens the quality of iron smelted from ore containing it.","""Cacos""=Greek, Ancient (to 1453), bad","""Xenos""=Greek, Ancient (to 1453), guest",
c840e83e-8503-4725-8b40-c84fa998395e,191,"From the Greek for calamine, as the element occurs in slags resulting from smelting smithsonite (formerly calamine) ore.","""Cadmia""=Greek, Ancient (to 1453), calamine",,
513813fe-3f20-4009-9d28-825b36968fbf,288,"From the Latin ""calx"", for burnt lime, an allusion to an important commercial use.","""Calx""=Latin, burnt lime",,
d0676c1c-1430-45d3-a0f2-5217d2087d61,191,Of uncertain origin; possibly from the Greek for beautiful and honey.,"""Kalos""=Greek, Ancient (to 1453), beautiful","""Melos""=Greek, Ancient (to 1453), black",
fb7df940-48e4-4b38-a028-6a330a7f6e5e,288,"For chimney, as the mineral occurs in undersea black-smoker chimneys","""Caminus""=Latin, chimney",,
ae6a81bc-0b3f-4ae7-83f0-ec0c0615ca19,191,"From the Greek 'kampylos' - bent, on account of the barrel-shaped bend of the crystals","""kampylos""=Greek, Ancient (to 1453), bent",,
ee972746-48ca-44cb-9bf0-b332ca9c5337,288,"Cornelian, cognate with similar words in several Romance languages, comes from the Mediaeval Latin corneolus, itself derived from the Latin word cornum, the cornel cherry, whose translucent red fruits resemble the stone.","""corneolus""=Mediaeval Latin, cornel cherry",,
4ea94a89-1ebf-4917-856f-0a979ba6fb67,191,"karfos for ""straw"" and lithos for ""stone""","""Karfos""=Greek, Ancient (to 1453), straw","""Lithos""=Greek, Ancient (to 1453), stone",
56a69269-6200-4009-8f04-fc48a25a3eb1,191,From the Greek κάρφος (straw) and σίδηρος (iron) in allusion to the colour and composition.,"""κάρφος""=Greek, Ancient (to 1453), straw","""σίδηρος""=Greek, Ancient (to 1453), iron",
363d7dc5-8c61-41b6-b8cf-f7e4c2149a5d,191,"For nut-brown, for its common colour","""Karyinos""=Greek, Ancient (to 1453), nut-brown",,
b3a1f6c5-da14-4e26-b4b9-7c907e8c0ee6,191,"From the Greek for nut, in allusion to its nutbrown color.","""κάρυο""=Greek, Ancient (to 1453), nut",,
5fb3fb88-3ea0-4334-bb44-36efe34957d2,191,"From the Greek κάρυον, ""a hazelnut"", and χρώσις, ""colouring"", referring to its colour.","""Karyon""=Greek, Ancient (to 1453), hazelnut","""Kros""=Greek, Ancient (to 1453), colouring",
52750812-649c-4170-9d13-8e21c809b77f,191,"For walnut and felt, in allusion to its colour and habit","""Karyon""=Greek, Ancient (to 1453), hazelnut","""Pilos""=Greek, Ancient (to 1453), felt",
c99a5b40-7f70-45e3-b94b-78e122009008,191,For tin,"""Kassiteros""=Greek, Ancient (to 1453), tin",,
4b99b389-6242-4c82-b4f2-7c93c33e0e6c,191,"From ""kata"", for with, and ""pleios"", for many, because it is always accompanied by other rare minerals","""Kata""=Greek, Ancient (to 1453), with","""Pleios""=Greek, Ancient (to 1453), many",
7e12fc13-284f-4a1b-affd-c03c9ebb4955,167,"From the French ""celadon"", for sea green, its colour","""Celadon""=French, sea green",,
e15578ce-465c-4459-9f89-816ee6bac538,288,"Its name, derived from the Latin caelestis, means “celestial” or “heavenly,” and refers to the sky-blue color commonly exhibited by its crystals.","""caelestis""=Latin, heavenly",,
36307254-f9bb-41eb-8e64-d2a47edf1c29,191,"from the Greek cœlestis for celestial, in allusion to the faint blue color of the original specimen","""Celestis""=Greek, Ancient (to 1453), celestial",,
e40afee9-9971-4d36-b869-5a3ba5acae9f,191,Mid 19th century. From ancient Greek κέντρον + ἀλλάσσειν to change + -ite. The mineral is so called because its change of colour to white begins at the centre.,"""κέντρον""=Greek, Ancient (to 1453), to change",,
0ce10ece-74c5-459b-9a1f-6776235dadbc,475,"Named for ""ceras"" = cherry blossoms.","""ceras""=Spanish, cherry blossoms",,
2bcd595d-e663-47a8-8808-4b211a486ca5,288,"From ""cerulean"", for the sky-blue colour of the mineral.","""Cerulean""=Latin, sky-blue",,
7d5f67cd-5d3e-4ad8-b315-7d8a138ded0e,288,"For the Latin ""caeruleus"" (""blue"") and ""fibra"" (""a fiber"")","""caeruleus""=Latin, blue","""fibra""=Latin, a fiber",
30c68aa5-7cc2-4410-b214-48c7e9d233ab,288,"From the Latin ""cerussa"", for white lead, synthetic lead carbonate","""Cerussa""=Latin, white lead",,
08b1c04f-f65b-40a3-b39e-b688b4c4d067,191,"From Greek ""didymos"", twin, alluding to its usual occurrence as fourling twins.","""Didymos""=Greek, Ancient (to 1453), twin",,
7e7afc68-5682-4c7a-a70f-317001abeeb5,191,"From the Greek ""chabazios"", an ancient name of a stone.","""Chabazios""=Greek, Ancient (to 1453), stone.",,
799e2b8e-0405-42a9-99fd-4e891be0bb8d,191,"From the Greek chalkos, ""copper"" and anthos, ""flower.""","""Chalkos""=Greek, Ancient (to 1453), copper","""Anthos=Greek, Ancient (to 1453), flower",
2b6c5100-a06d-42dd-aead-1747cf9d95b4,191,"For essential chemical components, from the Greek ""chalkos"", for copper;Latin ""alum"", for aluminum sulphate.","""Chalkos""=Greek, Ancient (to 1453), copper","""Alum""=Latin, aluminum sulphate",
2b6c5100-a06d-42dd-aead-1747cf9d95b4,288,"For essential chemical components, from the Greek ""chalkos"", for copper;Latin ""alum"", for aluminum sulphate.","""Chalkos""=Greek, Ancient (to 1453), copper","""Alum""=Latin, aluminum sulphate",
e1eeed7b-7421-4115-bb1e-7fab30eb5ce2,191,"For its composition, from the Greek for ""chalkos"", copper","""Chalkos""=Greek, Ancient (to 1453), copper",,
c623d0f7-d2b7-4525-8823-de3156995f5f,191,"From the Greek for copper and azure-blue, in allusion to the composition and colour change caused by hydration","""Chalkos""=Greek, Ancient (to 1453), copper","""Cyan""=Greek, Ancient (to 1453), azure-blue",
10d518ae-0b0b-4deb-9436-5086e2e94cab,191,"from the Greek, χαλκώδης, meaning ""brass-like"" in allusion to its appearance.","""χαλκώδης""=Greek, Ancient (to 1453), brass-like",,
88ee66fe-56da-4060-bc70-015a7367dbce,191,From the Greek for copper and moon.,"""Chalkos""=Greek, Ancient (to 1453), copper","""Menos""=Greek, Ancient (to 1453), moon",
9db3d9b9-0c96-488f-b253-916ad1865bf2,191,"From the Greek ""chalcos"", for copper, and ""natron"", the modern name for naturally occurring sodium carbonate.","""Chalkos""=Greek, Ancient (to 1453), copper",,
9e103de8-48d4-4c3a-899d-e0ec7a4e94e3,191,"From the Greek ""chalkos"" for copper and ""phainestai"" to appear, for the mineral's change in colour on ignition.","""Chalkos""=Greek, Ancient (to 1453), copper","""Phainestai""=Greek, Ancient (to 1453), to appear",
ea40678b-49d4-4844-a682-c2578a5567db,191,"From the Greek ""chalkos"" for copper and ""phullon"" for a leaf, for its prominent micaceous appearance.","""Chalkos""=Greek, Ancient (to 1453), copper","""Phyllos""=Greek, Ancient (to 1453), leaf",
9c854a8b-8806-46c5-88cf-85d606cf55de,191,"From the Greek ""chalkos"", copper, and ""pyrites"", strike fire.","""Chalkos""=Greek, Ancient (to 1453), copper","""Pyr""=Greek, Ancient (to 1453), fire",
