mineral_id,person,born,died,role,gender,nationality
bd389a31-e41d-41d1-a3f8-46553c6f4990,Jules Agard,1916,2003,"Geologist of the Bureau de Recherches Géologiques et Minieres, Orléans, France",M,64
5a13d2fa-c0a5-476e-abea-9edb3b5df9a1,Professor Stuart Olof Agrell,1913,1996,"Eminent petrologist, Cambridge University, Cambridge, England.",M,27
f367f027-03c8-4b59-b680-78ae9b0f4514,Georgius Agricola,1494,1555,"Scholar and scientist. He is considered the ""father of mineralogy.""",M,68
17cc71e5-e006-4b76-8c5f-f08c732e7f70,Henri Agrinier,1928,1971,"Engineer in the Mineralogy Laboratory of the French Atomic Energy Commission, Paris",M,64
3cc3313e-f3b3-4032-95da-e65713ab22c0,Ponciano Aguilar,1853,1935,"Superintendent of the San Carlos mine, Guanajuato, Mexico",M,116
ae43e8ec-3bd4-42d4-86bc-8d39e90e1414,Allen V Heyl,1918,2008,Economic geologist of the U. S. Geological Survey,M,4
c1ce27c7-edff-4f26-ae48-87ecfd6e797f,Friedrich E. Ahlfeld,1892,1982,German-Bolivian mining engineer and mineralogist,M,68
1aa7fc1b-3d6b-46a6-8c01-04146bcaf162,Thomas J. Ahrens,1936,2010,Geophysicist at the California Institute of Technology,M,4
5ec1ad4e-ff29-4b25-8362-deee2c029f49,Dr Arthur Aikin,1773,1854,"English chemist and mineralogist, a founder and long-time Secretary of the Geological Society of London",M,27
936bd95e-835e-4d4d-b6bc-97df1d53ea60,Masaki Akaogi,,,"Professor at the Department of Chemistry, Gakushuin University in Tokyo, Japan",M,91
7d0c517d-a87e-4c03-94cb-d926263d6872,Anders Richard Akerman,1837,1922,Swedish metallurgist,M,172
fe7215e5-e0c1-43ef-bb09-05acd64bc34f,Syun-iti Akimoto,1925,2004,"Specialist in high-pressure research, the Institute of Geophysics and Solid State Physics, University of Tokyo",M,91
3af8bb5c-99b1-4f00-af03-a4887017e6a0,"Claudio Albertini, an Italian mineral collector and expert on the systematic mineralogy of the Alps and pegmatites.",1950,,Mineral collector and expert in the systematic mineralogy of the Alps and pegmatites,M,88
808d6ec1-845c-4b1d-9292-5778e7bc4a1a,Professor Albrecht Schrauf,1837,1897,"Crystallographer, University of Vienna",M,11
18593947-be95-4dcf-b509-9eefe57ab9ba,Arthur Richard Alderman,1901,1980,"Professor of Geology and Mineralogy, University of Adelaide",M,10
d0d37ba8-0e01-4445-b7aa-478e75707ee4,Edward William Aldridge,,1909,"Landlord Duke of Cornwall Hotel in Broken Hill, who formed the first major collection of minerals from Broken Hill",M,10
2c2bda7f-659d-4a16-9fd6-1dc19ca2af04,Stanislav Mikhailovich Aleksandrov,1932,2012,"Geochemist, geologist, and mineralogist for his contributions to the geology, geochemistry, and mineralogy of tin",M,147
2a94db04-fcc5-4711-a052-8f40bd168079,Alexander II,1855,1881,Czar of Russia,M,147
c2325378-0e99-460b-a668-0e91f019a7b0,Alex Khomyakov,,,,M,147
5f7b6568-ce24-45a3-88fd-98ba80f29b8f,Alf Olav Larsen,1952,,Self-taught mineralogist who has contributed to the description of several new mineral species.,M,135
ac8ed5ee-149c-446a-8b27-3755952e68fe,Dr John T Alfors,1930,2005,"Geologist, California Division of Mines, for his work on the type locality.",M,4
04ee9e75-7189-45dd-85d4-29c3772400df,Alfredo Petrov,1955,,"Geologist, mineralogist and avid mineral collector for his contributions to the mineralogy and geology of Bolivia and to the mineral collector community.",M,24
8b140bd9-63a4-43b4-bdec-5c233890b136,Dr Alfred Wilhelm Stelzner,1840,1895,First professor of geology at the University of Córdoba and founder of the Mineralogical Museum,M,68
cc181f9a-146b-44e9-a11e-a3b8ed4de648,Francis Alger,1807,1863,"Boston iron manufacturer, chemist, and mineral collector. Alger revised Phillips' Mineralogy in 1844.",M,4
42b9234e-ac4f-4e63-b5aa-fd8931e0b5e2,Professor Andrea Alietti,1923,,"University of Modena, first studied the structure of the mineral.",M,88
50cd2964-33af-40b7-ad72-fab7938c46c1,Alla Nikolaevna Bogdanova,1947,2004,"Crystallographer with the Geological Institute, Kola Science Centre of Russian Academy of Sciences, Apatity, Kola peninsula, Russia,",F,147
a820fbd6-bb8f-4309-b70d-71f8e988f2d1,Thomas Allan,1777,1833,Scottish mineralogist discoverer of the species.,M,27
67a12575-918e-43a7-9682-17e05c393d62,Dr. Allan Pring,,,"Eminent mineralogist and Curator at the South Australian Museum, Adelaide",M,10
eabfeb18-6fea-4d32-a6f8-3345149a2cca,"Roberto Allori (b. 1933),",1933,,Amateur mineralogist who has studied the Latium region,M,88
9e8af934-e433-44c2-8b64-71d08029dddc,François Alluaud,1778,1866,"Mining engineer of Limoges, France, who discovered the specie",M,64
08a46a9e-a97b-4eea-8a0b-1c3f8c62d8c8,Fernando Flávio Marques de Almeida,1916,2013,"Professor of Geology at Institute for Technological Research, Sao Paulo, Professor at the Institute of Geosciences, University of Sao Paulo, one of the founders of the Brazilian Society of Geology and the first chief editor of the Journal of Geology",M,26
6ec6a5b4-308d-4a25-881f-6141d18f9492,Charles N. Alpers,,,Geochemist with the United States Geological Survey,M,4
69e30aef-acfc-49c5-b150-fcf8081a6fc5,Aleksey S. Sakharov,1910,1996,"Geologist, who worked on the Lovozero massif",M,147
a5da25b0-80db-4737-b50f-7b84aab55c42,Malcolm Alter,,,Long term Arizona field collector,M,4
1169c5c3-dfab-4299-9cdd-27d664c1dfb9,Professor Egon Althaus,1933,,"Mineralogist at University of Karlsruhe, Germany",M,68
83447e16-d76b-406e-a2dd-7cdff0f6b658,"Alan J Wilkins, MD",1955,,"Coto de Caza, California, discoverer of the mineral",M,4
e8c94fc2-e9e2-4cf1-a1c5-e6496e65c5e0,Pierluigi Ambrino,1947,,"Mineral collector, specializing in Piedmont and manganese deposits, who kindly provided the specimen studied.",M,88
5d9c77cc-2f23-48f0-91ba-7d2e7a0b8e34,Ameghino Brothers,1865,1936,"Two brothers, Carlos Ameghino (1865-1936) and Florentino Ameghino (1854-1911), geologists",M,8
80c128a6-3101-4950-8ac1-676afde35ca2,James Tyler Ames,1810,1883,"Part owner of the Chester Emery Mines, Massachusetts, USA",M,4
9a74c392-ecee-4b40-8e7d-14a00f1fd11d,Giovan Battista Amici (1786{1863),1786,1863,"Physicist, optician, and inventor of microscope optical elements",M,88
4d8b4411-bb83-4e8d-adf7-15a304d954ec,Dr Gregori Aminoff,1883,1947,"Mineralogist and expert on Langban mineralogy, associated with the Swedish Museum of Natural History",M,172
8632cee7-f8eb-4de0-a5d3-fac58a84896b,Dr Ananda Kentush Coomaraswamy,1877,1947,First Director of the Mineral Survey of Ceylon (Sri Lanka),M,168
712a893b-d884-4ecc-b501-03929abd12e8,Dr Ananda Kentush Coomaraswamy,1877,1947,First Director of the Mineral Survey of Ceylon (Sri Lanka),M,168
c44f371a-9f21-4b81-94d6-956e4b37ced0,Anatoliy Boldyrev,1883,,Professor of Crystallography and Mineralogy in Leningrad in first half of 20th century.,M,147
f000a8d4-588c-487e-9ff3-6320d9213d2a,Charles Alfred Anderson,1902,1990,"Geologist with the U.S. Geological Survey, who collected the first specimens",M,4
4fc3da76-6e35-4d74-aa08-5b24068a6ba1,Andor von Semsey,1833,1923,Hungarian mineral collector,M,79
63ce205d-9353-4139-836c-f8eca1b8e3d2,Andor von Semsey,1833,1923,Hungarian mineral collector,M,79
eedf1077-9b94-4d17-a926-13ff6490ac84,Andor von Semsey,1833,1923,Hungarian mineral collector,M,79
aa722be0-f11c-4aef-98ef-0ed5b8d99d32,J B d'Andrada de Silva,1763,1838,Mineralogist who described this variety of garnet,M,26
b950b05f-f52f-4fc5-a228-761361cd267c,Andrea Dini,,,"Mineralogist, geologist and Italian depositor.",M,88
d1f3ac00-997e-4e43-a283-1e6ffcaee470,André Marie Meyer,1920,1965,"Geologist with the Geological Survey of the Belgian Congo, who first discovered the mineral.",M,20
6e29b61c-6543-4874-8f9f-3a9895890cb9,Thomas Andrews,1813,1885,Chemist,M,27
9a30ebbf-3714-4956-a7dc-f7c4f1edb821,Andrey Valerievich Ivanov,1937,2016,"Geochemist and mineralogist, Laboratory of Meteoritics, Moscow",M,147
b539f050-ac60-4c05-bd52-810f8a0ee7cb,Valeriy Ivanovich Andrianov,1938,1991,"Mathematical crystallographer, developer of the AREN package of programs for structural study of minerals with mixed composition",M,147
5572fb3d-af6d-4e08-b8bf-ce7adfce4d74,Andrew (Andy) Gregor Christy,1963,,"Welsh-Australian mineralogist, petrologist, geochemist and solid-state chemist",M,27
22e5f6fe-d0e9-481f-99b3-dcdbf782e9ca,Andrew (Andy) Clifford Roberts,1950,,Mineralogist with the Geological Survey of Canada,M,35
420ce23a-8515-40fa-8f49-ad64af62fdd1,Dr Victorio Angelelli,1908,1991,"Mining geologist, Director of the Argentinian Geological Survey.",M,8
ce885cc2-547c-4f55-b307-4aa1fbaf2705,Professor Matthias Joseph Anker,1772,1843,Mineralogist,M,11
7530dd2f-75a9-4ea0-a63e-780272d2ef64,Stepan Gerasimovich Ankinovich,1912,1985,geologist/mineralogist who studied Asian vanadium deposits,M,147
7530dd2f-75a9-4ea0-a63e-780272d2ef64,Ekaterina Aleksandrovna Ankinovich,1911,1991,Wife of Stepan Gerasimovich Ankinovich - a geologist/mineralogist who studied Asian vanadium deposits,F,147
432aafc9-8a41-4331-9fe1-b9109b3520e5,Stefan Ansermet,1964,,"Mineralogist, associate researcher and photographer in the Geological State Museum of Lausanne",M,173
d4b1c210-40b2-4338-8bee-2dbaf833e5ff,Raymond Anthoine,1884,1971,Belgian mining engineer,M,20
df6e3ba6-754b-40eb-bdcd-021081a16f26,Professor John Williams Anthony,1920,1992,"Mineralogist, University of Arizona, Tucson, Arizona",M,4
75d1c1d4-506b-4169-b882-003b0a2a5ab5,Mikhail Yuvenal’evich Antipin,1951,2013,Specialist in the crystallography and crystal chemistry of organometallic and coordination compounds,M,147
5aa40d32-c07f-41cb-b743-594f530506aa,Anatoly Zaitsev,1963,,"Professor of Mineralogy at St. Petersburg State University, Russia and Scientific Associate at the Department of Earth Sciences, The Natural History Museum (London)",M,147
10c79545-91cd-405e-840b-c1cc2b16721e,Dr. James Apjohn,1796,1886,"Professor of Chemistry and Mineralogy, Trinity College, Dublin, Ireland",M,86
8f929554-e99f-4e10-a031-c9fa1fb6aea6,Albert Peter Low,1861,1942,"Canadian geologist, former Director of the Geological Survey of Canada",M,35
f7ce9688-e8aa-48f7-8694-d650095ab5a9,Dr. Takaharu Araki,1929,2004,"Professor at University of Chicago and later translator for Chemical Abstracts, for his numerous mineral crystal-structure determinations and contributions to the science of mineralogy",M,4
ecaad7d2-afb2-4c38-b592-b57747f3180f,Felix Avelino Aramayo,1846,1929,Managing Director of the Compagnie Aramayo de Mines en Bolivie,M,24
9c8fbb03-4099-45cf-874a-b5da5c2edf1e,Yu. A. Arapova,1907,1988,"Geologist and author of many works on the geochemistry, mineralogy and petrology of Middle Asia",F,147
d859aa6c-6331-481a-ac8a-c16553d983fe,Michael Archer,1945,,"Professor of Biology, University of New South Wales, Australia",M,10
fbce14a0-65ab-4adb-8cb1-d378a444c0de,Henryk Arctowski,1871,1958,"Polish Antarctic researcher in the Belgica Antartic Expedition (1897-1899). The Polish Antarctic research station is named for him, as well as Arctowski Peak and Arctowski Peninsula.",M,143
a80b859e-b6f2-4406-b676-ddf564ed9022,Johan A. Arfvedson,1792,1841,Swedish chemist,M,172
0cd8c86c-0d26-423b-a06d-c564ac9c4795,Emile Argand,1879,1940,"Swiss geologist and mineralogist, who studied the tectonics of the Alps and of Asia",M,173
0e7e0948-b50a-4b31-ae99-51dd11fbf164,Arie Lev Gilat,1939,,"geologist with the Geological Survey of Israel, Jerusalem.",M,147
838428ab-6f21-4df4-b176-092f4cca3c57,Professor Lorenzo Francisco Aristarain,1926,,"Mineralogist specializing in borate deposits, La Plata University, Buenos Aires, Argentina",M,8
b8ef821b-16c4-49c6-a65c-f4cc5a271fc5,Neil Alden ARMstrong,,,the Apollo XI astronauts who collected the type samples,M,4
b8ef821b-16c4-49c6-a65c-f4cc5a271fc5,Edwin Eugene ALdrin,,,the Apollo XI astronauts who collected the type samples,M,4
b8ef821b-16c4-49c6-a65c-f4cc5a271fc5,Michael COLlins,,,the Apollo XI astronauts who collected the type samples,M,4
d924d689-fc72-4f7b-8f94-48106471cd5d,Prof. Thomas Armbruster,1950,,"Professor  at University of Bern, made an outstanding contribution to structural mineralogy and crystallography, especially to the study of Mn-rich minerals",M,173
d3b66be5-7081-4c4a-b109-a5d0cab95f25,Gianluca Armellino,1962,,"researcher and systematic collector specializing in the minerals of Liguria and other specific localities, with specimens only personally collected.",M,88
936aaecc-de92-4950-b2d7-bc62724b525f,Neil Alden Armstrong,1930,2012,"American astronaut, first man to walk on the Moon",M,4
40689dc0-8f73-4ab2-adcd-97698749536f,Miguel Arrojado Lisbôa,1872,1932,Brazilian geologist,M,26
5cd7bcd2-74be-4be7-886c-ed5ba473ff71,V. Arshinov,1879,1955,Founder of the Fedorovskii All-Russia Institute of Mineral Resources.,M,147
f4efedd7-6586-42b1-ab24-de40acebf8d9,Sir Arthur Edward Ian Montagu Russell,1878,1964,British mineral collector,M,27
f4efedd7-6586-42b1-ab24-de40acebf8d9,Arthur William Gerald Kingsbury,1906,1968,English mineralogist and collector,M,27
46e920a5-4023-42e0-8db4-77ca3ac7b172,Professor Ettore Artini,1866,1928,"Italian mineralogist, University of Milan and Director of the Natural History Museum, Milan, Italy",M,88
29aeb430-f7db-42c2-ad54-35b470b74214,Dr. Arthur Roe,1912,1993,"American chemist and collector of microscopic minerals, Tucson, Arizona, USA",M,4
ba006981-c0e1-4c5a-9cac-ac8f83978b6d,Mr. Arthur E. Smith Jr.,1935,2009,"American petroleum geologist and mineral collector, who originally found the material",M,4
60120af4-a1e0-4ede-982e-505efde91d8f,Hans Henning Arup,1928,,"Director of the Danish Corrosion Center, Copenhagen, Denmark.",M,49
a4cd16df-ff32-49d0-ad22-3dce940bb67e,Andreas Eremeevich Arzruni,1847,1898,"Professor of Mineralogy at Aachen, Germany, who first recognized the mineral",M,68
de79bf2e-e03f-4234-9dda-4f5705993b91,Frederick Noel Ashcroft,1878,1949,"Benefactor to the British Museum (Natural History), London, England",M,27
abb9dbb6-bfa2-4267-8007-366189835b2c,Paul D. Asimow,1969,,"Professor of Geology and Geochemistry at the California Institute of Technology, for ""his research in igneous and computational petrology and mineral physics and for exploring the behavior of materials under shock conditions.""",M,4
14cad179-377a-4ed5-bf63-9fe8a1a082cd,Eric Asselborn,1954,,"Surgeon and mineral collector, of Dijon, France, in whose collection the mineral was first found.",M,64
bd1ef6b6-5d05-4fd4-b823-f4a4c8a7e5d0,Dr. Daniel Atencio,,,"Professor of mineralogy at the Geoscience Institute of the University of Sao Paulo, Brazil",M,26
be48397f-1427-4ffd-ae19-e1e145866fad,Vladimir Vasilevich Atlasov,1661,1711,Russian traveller who first explored the Kamchatka Peninsula,M,147
3f83eb5f-964a-472a-bfd7-1eb68ba7c2a5,J. Aubert,1929,,French geophysicist who collected the first specimens,M,64
5b2d180e-a211-4a2e-9c0f-036fb80b52ee,Carl Auer von Welsbach,1858,1929,The inventor of the Welsbach incandescent gas mantle,M,11
a34faebc-3bd4-40f1-9b8a-9ce5ac46fbc5,Dr. Karin Aurivillius,1920,1982,"chemist at University of Lund, Sweden, who synthesized and determined the crystal structures of many Hg compounds.",M,172
0020315a-fac8-41bf-b123-a07a4bcaa684,Professor Austin Flint Rogers,1877,1957,"Mineralogist, Stanford University, Palo Alto, California, USA",M,4
cd0f63b1-e30e-4ba2-bb53-f0994a1c5650,Vladimir Nikolaevich Avdonin,1925,,"Senior scientist of the Ural Geological Museum, Ural State Mining University, Russia",M,147
4525b01b-35c5-4678-8659-774fe02f0929,Valerii Viktorovich Averiev,1929,1968,"Volcanologist, Institute of Volcanology, Petropavlovsk-Kamchatskii, Russia",M,147
ed3b8714-ab29-4a76-8467-e926542b414b,Abu 'Ali al-Husayn ibn 'Abd Allah ibn Sina (Avicenna),980,1037,Medieval Uzbek (Persian) scholar and physician,M,188
6747f730-ee4c-41a7-823f-c710aa64ef04,Amedeo Avogadro,1776,1856,"Professor of Physics at the University of Turin, Turin, Italy",M,88
5ef8827e-4c8f-469b-9b6d-0d0c7ca811d1,František Babánek,1836,1910,"Mining expert, geologist and mineralogist",M,48
45086711-f23b-4b66-84eb-9c0a198231e5,Dr. William Babington,1756,1833,Irish physician and mineralogist,M,27
d103cd09-07bd-45a4-bda3-a33d1b828504,Petr Vasil'evich Babkin,1929,1977,"Russian geologist, Northeast Geological Administration of Mingeo, Magadan, Russia, who first studied the Nevskoye deposit.",M,147
dada4c27-e60f-4ed5-9248-1abfc489817c,Leo Baekeland,1863,1944,He developed the Bakelite or polyoxybenzylmethylenglycolanhydride that was the first plastic made from synthetic components.,M,20
75dc618a-47fd-428b-9083-4e087e896648,Malcolm A. Back,1951,,"X-ray technician at the Royal Ontario Museum in Toronto, Canada, and author of the 2015 edition of ""Fleischer's Glossary of Mineral Species.""",M,35
558363a2-1bae-4831-9fde-973ff3339dd2,Badalov Stepan Tigranovich,1919,,"Mineralogist, Professor at Institute of Geology and Geophysics of  Kh. M. Abdullayev of the Academy of Sciences of Uzbekistan",M,188
b222698a-8bf8-40aa-804f-16c78538ce13,Joseph Baddeley,,,Was first to call attention to the Sri Lankan material.,M,27
1a765cbc-5d7d-4488-8ee4-28aaeac07589,Professor Sturges W. Bailey,1919,1994,"Department of Geology and Geophysics, University of Wisconsin, Madison, Wisconsin, USA",M,4
a8f75e0f-ec37-4445-b40a-3b82646edd48,Jerry A. Baird,1940,,"Mineral collector for 45 years, has collected extensively at Otto Mountain and has provided numerous samples for research.",M,4
0ab4f6b0-1999-40b7-ba88-4ee554da87b6,Richard C. Baker,1858,1937,"Discovered the species, then president of the Borax Consolidated Company (formerly the Borax Company Limited) of San Bernardino County, California, USA, and for whom Baker, California, USA is also named",M,4
642bcf22-6be0-49bf-8537-61c4e29b18a5,Alexander Yu. Bakhchisaraitsev,1947,1998,Crystallographer,M,147
0240c8d6-e48b-4791-862c-6dc2afcfa9a7,Corrado Balestra,1962,,Amateur mineralogist and expert on Ligurian minerals.,M,88
f0f03b69-3d42-4f87-9933-0e1d07a7d45e,Tonci Balić-Žunić,1952,,Professor of Mineralogy at the Natural History Museum of the University of Copenhagen,M,49
f4b01d01-90f2-4f0a-be32-a153776c79c2,Paolo Ballirano,1964,,"Crystallographer at Department of Earth Sciences, University of Rome, for contributions to the crystal chemistry of cancrinite group minerals.",M,88
c831c30a-3c00-4198-ba2f-5f678e7bb45d,Tat'yana Stepanovna Balyakina,1906,1986,"Geology Instructor, Moscow University, Moscow, Russia.",F,147
692f468c-f9bc-4d27-a280-e362b28f8ceb,Dr. Mark Chance Bandy,1900,1963,"Mining engineer, mineralogist, and mineral collector, who first collected the mineral",M,4
501c5f6a-5883-4b53-b6a0-cf371d9586a3,Dr. Harold MacColl Bannerman,1897,1976,"Economic geologist, U.S. Geological Survey and Dartmouth College, Hanover, New Hampshire, USA.",M,4
84869840-45bc-47b9-b63f-1030a03d2f5b,Dr. Frederick Allen Bannister,1901,1970,"Formerly Keeper of Minerals, British Museum (Natural History), London, England",M,27
72cb8710-4fa0-443e-8266-63ea33219f07,Rauf Baratovich Baratov,1921,,"Petrologist, Institute of Geology, Dushanbe, Tajikistan",M,147
bfa8acf7-a6ea-4c71-914a-6c1f942b95ef,Franco Barberi,1938,,"Professor of Vulcanology, University of Pisa, Pisa, Italy, who promoted studies of Vulcano",M,88
85b3401c-a0f6-482a-8eba-49eb97bf30b7,Aluizio Licinio de Miranda,1916,,"Professor of Geology, School of Mines, Ouro Preto, Brazil.",M,26
1a69cd04-ca87-4ae3-bdb3-cb27c271e860,Willem Barents,1550,1597,"Seafarer, for whom the Barents Sea, northeast of the Kola Peninsula, was named.",M,52
befc3762-b822-4d79-9981-35fbc478a2e9,Dr. Pierre Bariand,1933,,"Curator of Mineralogy, University of Paris, Paris, France.",M,64
bde72d15-25ab-4ca9-9322-1b0f4b633d6a,Dr. Ljudevit Baric,1902,1984,"Former Director of the Mineralogical Museum and Professor of Mineralogy, University of Zagreb, Zagreb, Croatia",M,45
a2aa9767-9a56-4f15-a869-e5b4e6f6f34c,Sir Henry Barkly,1815,1898,Patron of the sciences,M,27
3ef65db2-62ea-4299-b2f7-d63f497258fb,William Barlow,1845,1934,Amateur geologist and crystallographer who independently enumerated the 230 space groups and proposed several crystal structures in the 1880s that were later validated by X-ray crystallography.,M,27
e47e337c-7552-44c6-8034-ba38b2cc8e6b,Dr. William H. Barnes,1903,1980,"National Research Council of Canada, Ottawa, Canada, authority on the crystallography of many vanadium minerals.",M,35
9c7998c6-998a-4286-8835-4f30ffb6bf90,Joachim Barrande,1799,1883,geologist,M,64
9964cc91-321e-44bc-b8fa-f8d72a28c14e,Richard Maling Barrer,1910,1996,New Zealand-born British teacher and student of the chemistry of zeolites.,M,27
e3e0ddcd-1c18-4168-b353-2add9b08127f,Daniel Moreau Barringer,1860,1929,"Early proponent of the meteor impact origin of Meteor Crater, near Canyon Diablo, Arizona, USA.",M,4
875c3b44-7b82-4d60-af7f-436da73da616,Charles Eugene Barrois,1851,1939,Geologist and palaeontologist,M,64
c5890af7-fc37-4924-9703-5ade3745a495,Dr. Halil Sarp Barrotite,,,Proffesor at Universität Genf,M,173
caa4e349-dddc-46b0-a315-740e41582a5a,Professor John Barry Dawson,1932,2013,Petrologist who made ground-breaking studies of silica undersaturated rocks of the Earth’s crust and mantle,M,27
7117b646-5efe-4320-a125-63490787eda2,Richard William Barstow,1947,1982,"Mineral collector and dealer of Cornwall, England.",M,27
dc7a4a7e-204f-4b93-ab97-12805110249c,Wolfgang Bartelke,1949,,"Mineral collector and specialist in the minerals of Tsumeb, Namibia.",M,68
f3552b76-cdf1-4e16-ad02-312934ad93b8,Paul Booth Barton,1930,,Ore petrologist with the U.S. Geological Survey.,M,4
95b80868-0f8c-4ebd-ba09-c1cc912bbe36,Henry “Bumpi” L. Barwood,1947,2016,"Professor of geology at Troy University, Troy, Alabama, USA. Dr. Barwood was also very active in the mineral collecting community and on MinDat.",M,4
9dd83d65-35ec-4aba-8dda-faaea242b56a,Francesco Basani,1853,1916,"Italian paleontologist, University of Naples, Italy.",M,88
67e07361-3862-4e98-8ae6-23e68d4bffc2,Francesco Bassani,1853,1916,"Professor of Paleontology, University of Naples, Naples, Italy.",M,88
e1f7274a-7bd2-4ce7-bd9f-8e69289f85e7,Riccardo Basso,1947,,"Professor of Mineralogy and Crystallography, University of Genoa, Italy.",M,88
8ee029dd-21dd-4093-bc23-a77b26ab3985,Edson Sunderland Bastin,1878,1953,"Geologist specializing in granite pegmatites and ore textures in sulfide ore deposits, with the U. S,. Geological Survey and later professor at University of Chicago, Illinois, USA.",M,4
d6a318d6-5ba1-468a-ac23-22fba45e45ac,Dmitrievna Batieva,1992,2007,For her contributions to the geology and petrology of metamorphic and alkaline complexes of the Kola Peninsula.,F,147
3e75116a-9bf6-4fc4-928f-30631ed9c601,Professor Heinrich Adolph Baumhauer,1848,1926,"Mineralogist, University of Fribourg, Switzerland.",M,68
74d4ec21-857f-4230-a8a8-8f33bad59a8b,John Leach Baum,1916,2011,"Graduate of Harvard University and student under Dr. Charles Palache. He was the former Head Geologist, Franklin Mine, Curator Emeritus of the Franklin Mineral Museum, author and contributor to the mineralogy and geology of the Franklin deposit.",M,4
e7883456-0c59-4c57-93eb-808003aa649b,Manfred Baumstark,1954,,"Mineralogist, who provided the type material.",M,68
014984cc-9025-4971-994f-5da9e0e7974c,Karl J. Bayer,1847,1904,German metallurgist,M,68
dc18fda4-3bae-4793-9c7d-a3d66c6f2055,John Bayldon,1837,1872,A physician who collected the original specimens.,M,27
d5d78657-9749-45dc-8a78-037b233fa941,Professor William Shirley Bayley,1861,1943,"Mineralogist and geologist, University of Illinois, Urbana, Illinois, USA, and the U.S. Geological Survey.",M,4
265ade7e-5c6f-44ae-bf84-40ae6e774345,Noel Stanley Bayliss,,,"Professor of Chemistry, University of Western Australia, Nedlands, Western Australia, who characterized the synthetic compound",M,10
4507af5f-3c82-4427-8e46-67cd1637ddd5,Alfre Georgievich Bazhenov,1931,,"Geochemist and petrologist, Analytical chemist, of the Il'menskii Preserve, Miass, Russia",M,147
4507af5f-3c82-4427-8e46-67cd1637ddd5,Lyudmila Fedorovna Bazhenova,1938,,Wife of Alfre Georgievich Bazhenov,F,147
e5f79516-b041-46f4-96da-beb4bdb579d2,Alessandro E. Bazzi,1892,1929,"Discoverer of the material from Baveno, Italy.",M,88
fdfc9518-136f-4baa-83ae-cee1e141ad9b,Professor Peter Bearth,1902,1989,For his pioneering petrologic studies of the high-pressure terranes of the western Alps.,M,27
3cb7dece-b195-4258-b936-65162039cf00,Jean-Baptiste Elie de Beaumont,1798,1874,Professor of geology at he the College de France. Beaumont co-authored the Geologic Map of France and was a researcher regarding the mechanics of mountain building.,M,64
2381867f-771b-40e8-8296-82f09e28aacc,O. Beccari,1843,1920,Florentine explorer,M,88
