anion_id,anion_name,formula,formula_with_oxidation,variety_of,class_id,subclass_id,group_id,subgroup_id,structure_description,geometry
35,Antimonite,SbO_3_,Sb^3+^O_3_,,11,7,,,Sb atom is coordinated by three O atoms forming a pyramide,Pyramid
36,Diantimonite,Sb_2_O_4_,Sb^3+^_2_O_4_,,11,7,,,It consists of interconnected SbO_3_ pyramid,Two pyramids
37,Arsenate,AsO_4_,As^5+^O_4_,,11,8,,,As atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
38,Diarsenate,As_2_O_7_,As^5+^_2_O_7_,,11,8,,,"The structure contains As^5+^ cations, each of which is tetrahedrally coordinated by four O atoms, and pairs of these AsO4 tetrahedra share a vertex which results in As_2_O_7_ pyroarsenate groups",Two tetrahedrons
39,Dihydrogen arsenate,H_2_AsO_4_,H_2_As^5+^O_4_,37,11,8,,,As atom is coordinated by two O atoms and two OH groups forming a tetrahedron,Tetrahedron
40,Hydrogen arsenate,HAsO_4_,HAs^5+^O_4_,37,11,8,,,As atom is coordinated by three O atoms and one OH groups forming a tetrahedron,Tetrahedron
41,Arsenite,AsO_3_,As^3+^O_3_,,11,10,,,"Ortho-arsenite, an ion of arsenous acid, with a pyramidal shape",Pyramid
42,Diarsenite (4O),As_2_O_4_,As^3+^_2_O_4_,,11,10,,,It consists of interconnected AsO_3_ pyramids,Two pyramids
43,Diarsenite (5O),As_2_O_5_,As^3+^_2_O_5_,,11,10,,,The structure is based on [As2O5]4− corner-linked dimers of  [AsO3]3− trigonal pyramids,Two pyramids
44,Hydrogen arsenite,HAsO_3_,HAs^3+^O_3_,41,11,10,,,As atom is coordinated by two O atoms and one OH groups forming a pyramid,Pyramid
45,Phylloarsenite,As^3+^_5_O_11_,As^3+^_5_O_11_,,11,10,,,"[As_5_O_11_] group, terminal AsO_3_ pyramids share two anions with the octahedra, whereas the three central AsO_3_ groups share only one anion with the octahedra, the others bridging between neighboring AsO_3_ group",Sheets
46,Tectoarsenite,As^3+^_14_O_24_,As^3+^_14_O_24_,,11,10,,,AsO_3_ pyramids share O corners to form a ‘loose’ 3D framework,Framework
47,Bismuthite,BiO_3_,BiO_3_,,11,11,,,Bi atom is coordinated by three O atoms forming a pyramide,Pyramid
48,Dibismuthite,Bi_2_O_4_,Bi_2_O_4_,,11,11,,,It consists of interconnected BiO_3_ pyramids,Two pyramids
49,Diborate (5O),B_2_O_5_,B_2_O_5_,,11,12,4,,A pair of triangles,"2:◿, isolated"
50,Diborate (calciborite_type),B_2_O_4_*1*,B_2_O_4_*1*,,11,12,4,,<◿2T> rings link via common (BO4) groups to form [3]B[4]BФ4 chains extending along [001],"2:∞(◿ +T), chains"
51,Diborate (santarosaite_type),B_2_O_4_*2*,B_2_O_4_*2*,,11,12,4,,A pair of tetraedra,"2:T, isolated"
52,Dihydrogen diborate,B_2_O_4_(OH)_2_,B_2_O_4_(OH)_2_,,11,12,4,,"BO_3_ triangles and BO_2_(OH)_2_ tetrahedra share a common vertex, forming insular [B2O_4_(OH)_2_]^4−^ groups",2:◿+T
53,Hexahydrogen diborate,B_2_O(OH)_6_,B_2_O(OH)_6_,,11,12,4,,"Two minerals contain this FBB as an isolated cluster in their structure. In both cases, two (BФ4) groups share a vertex to form a cluster.","2:T, isolated"
54,Hydrogen diborate,B_2_O_4_(OH),B_2_O_4_(OH),,11,12,4,,Сonsist of 1 x 2 ribbons of edge-sharing octahedra that link by sharing vertices to form comrgated sheets of octahedra perpendicular to t 1 001 ; these sheets are cross-linked into a framework by [B2O5] groups,"2:◿, isolated"
55,Tetrahydrogen diborate,B_2_O_2_(OH)_4_,B_2_O_2_(OH)_4_,,11,12,4,,A single (BO4) group that polymerizes by sharing two vertices with adjacent (BO4) groups to form a pyroxene-like chain that extends in the [001] direction.,"1:∞T, chains"
56,Trihydroxydiborate,B_2_O_2_(OH)_3_,B_2_O_2_(OH)_3_,,11,12,4,,Chain composed of two linked triangles forming the dimer [-OB(OH)OB(OH)2] 1-.,"2:2◿, chains"
57,Heptaborate,B_7_O_13_,B_7_O_13_,,11,12,5,,"The O(1) position is bonded to three boron atoms only, and the borate framework contains both BO4 tetrahedra and BO3 triangles",7:◿+6T
58,Dihydrogen hexaborate,B_6_O_9_(OH)_2_,B_6_O_9_(OH)_2_,,11,12,6,,"Three <◿2T> rings link by sharing tetrahedra; each ring shares one tetrahedron with each of the other two rings. This produces a cluster with three triangles and three tetrahedra, and the tetrahedra all link together via acommon vertex denoted by [Ф] in the designation for the FBB.","6:3◿+3T, sheets"
59,Hexaborate,B_6_O_10_,B_6_O_10_,,11,12,6,,Unknown structure type,
60,Hexahydrogen hexaborate (aksaite_type),B_6_O_7_(OH)_6_*2*,B_6_O_7_(OH)_6_*2*,,11,12,6,,This FBB consisto sf three rings that link to a common central anion through their tetrahedrally coordinated B atoms. It occurs in three isolated cluster minerals,"6:3◿+3T, isolated"
61,Hexahydrogen hexaborate (teruggite_type),B_6_O_7_(OH)_6_*1*,B_6_O_7_(OH)_6_*1*,,11,12,6,,"Formed by three six-membered boron-oxygen rings, two rings consisting of two tetrahedra and one triangle and the third ring being formed by three tetrahedra.","6:2◿+4T, isolated, modified"
62,Hydrogen hexaborate,B_6_O_9_(OH),B_6_O_9_(OH),,11,12,6,,"Three rings link by sharing tetrahedra. Each ring shares one tetrahedron with the adjacent two rings, producing a cluster of three triangles and three tetrahedra in which the three tetrahedra link together yia a common vertex, as is the","6:3◿+3T, sheets modified"
63,Phyllo-hexaborates,B_14_O_20_(OH)_6_,B_14_O_20_(OH)_6_,,11,12,6,,Based upon 2-dimensional anionic layers with the composition [B14O20(OH)6]4−. The layers are coplanar to (0 1 0) and are composed of BO4 tetrahedra and BO3 triangles. The fundamental building block (FBB) for the crystal structures of ginorite and strontioginorite consists of eight BO3 triangles and six BO4 tetrahedra. The adjacent FBBs are linked by sharing O atoms to form layers that possess open nine-membered rings centered by the M1 and M2 metal atoms.,6:∞2[(3◿+3T)+2◿].
64,Tetrahydrogen hexaborate,B_6_O_8_(OH)_4_,B_6_O_8_(OH)_4_,,11,12,6,,Linkage between (BY_3_) and (BY_4_) groups to form chains parallel to the b-axis,"6:3◿+3T, chains"
65,Trihydrogen hexaborate,"B_6_O_7_(OH)_3_(O,OH)_3_","B_6_O_7_(OH)_3_(O,OH)_3_",,11,12,6,,The mineral structure consists of hexaborate fundamental building blocks that polymerize along [001],6:T
66,Mega-tektoborate,B_26_O_34_(OH)_24_,B_26_O_34_(OH)_24_,,11,12,7,,"The FBB contains a 12-membered ring of alternating (BY3) and (BY4) groups that share corners, with one of the (BY4) tetrahedra also a component of a <◿2T> ring that is in tum decorated with a single (BY3) group",15:7◿+8T
67,Megaborate,B_13_O_17_(OH)_12_,B_13_O_17_(OH)_12_,,11,12,7,,"A complex corrugated borate sheet structure consisting of thirteen crystallographically distinct borate polyhedra, six of which are triangular [(BO3) groups] and seven of which are tetrahedral [(BO4) groups]. There are two types of triangular coordination, the common [BO3] and the much rarer [BO2(OH)]. There are three types of tetrahedral coordination, [BO4], [BO3(OH)] and [BO2(OH)2]","28:12◿+14T, sheets"
68,Neso-dodecaborate,B_12_O_18_(OH)_12_,B_12_O_18_(OH)_12_,,11,12,7,,This FBB indicates that twelve boron polyhedra are involved in the formation of a twelve-membered ring with alternating tetrahedra and triangles,"12:6◿+6T, sheets"
69,Silicoborate spiral,SiB_2_O_4_(OH)_4_,SiB_2_O_4_(OH)_4_,,11,12,7,,"All tetrahedron sharing corners to create infinite spirals along the b direction. Each spiral is also linked via corners to its own centrosymmetric equivalent, thus forming an eight-membered ring with alternating B, O, and Si atoms",3:3T
70,Tekto-dodecaborate,B_12_O_28_,B_12_O_28_,,11,12,7,,Framework of BO4 tetrahedra,12:T
71,Borate (tetrahedron),BO_4_,BO_4_,,11,12,8,,Boron ion is surroanded by four oxygen,"1:T, isolated"
72,Borate (triangle),BO_3_,BO_3_,,11,12,8,,Boron ion is surroanded by three oxygen,"1:◿, isolated"
73,Dihydrogen borate,BO(OH)_2_,BO(OH)_2_,,11,12,8,,One boron atom is surrounded with one oxygen and two OH group,"1:◿, isolated"
74,Hydroxyborate,HBO_3_,HBO_3_,,11,12,8,,Boron ion is surroanded by two oxygen and one OH group,"1:◿, isolated"
75,Tetrahydroxyborate,B(OH)_4_,B(OH)_4_,,11,12,8,,Boron ion is surroanded by four OH group,"1:T, isolated"
76,Trihydroxyborate,B(OH)_3_,B(OH)_3_,,11,12,8,,Boron ion is surroanded by three OH group,"1:◿, isolated"
77,Trihydroxyborate (1O),BO(OH)_3_,BO(OH)_3_,,11,12,8,,The unit consist of one boron connected to one oxygen and three OH group,"1:T, isolated"
78,Hexahydrogen nonaborate,B_9_O_13_(OH)_6_,B_9_O_13_(OH)_6_,,11,12,10,,The framework consists of sheets of 12-membercd rings of alternating triangular and tetrahedral borate polyhedra cross-linked by adjacent slabs of 3-mcmbcrcd rings having a crankshaft chain configuration.,16:8◿+8T
79,Nonahydrogen nonaborate,B_11_O_15_(OH)_9_,B_11_O_15_(OH)_9_,,11,12,10,,"Structure contains a 9:(4◿ + 5T) + 2T fundamental building block (FBB), which is the third largest FBB known in a borate mineral. Each FBB contains four tlree-membered boron-oxygen rings, each of which is (1◿ + 2T).The FBBs comer-share with four other FBBs, forming complex borate sheels that run parallel to (010)",9:(4◿ + 5T) + 2T
80,Tetrahydrogen nonaborate,B_9_O_14_(OH)_4_,B_9_O_14_(OH)_4_,,11,12,10,,Unknown structure type,
81,Octaborate,B_8_O_13_(OH)_2_,B_8_O_13_(OH)_2_,,11,12,11,,The crystal structure is unique. Eight B polyhedra form a fundamental building block [B8O16(OH)2] which is a six-membered borate ring (built by two pairs of B tetrahedra and two B triangles) with two additional triangular BO2(OH) groups. Each [B8O16(OH)2] ring is linked to six adjacent analogous rings to form a [B8O13(OH)2]∞ layer.,"6: (2T + 2◿) + 2◿, layers"
82,Dihydrogen pentaborate,B_5_O_7_(OH)_2_,B_5_O_7_(OH)_2_,,11,12,12,,This FBB consists of two <2◿T> rings that link via a common (BO_4_) tetrahedron. It occurs as polymerized type to form chains.,"5:4◿+T, chains"
83,Dihydrogen pentaborate,B_5_O_8_(OH)_2_,B_5_O_8_(OH)_2_,,11,12,12,,It consists of two <◿2T> rings that link together through a common (BФ4) group. The FBB links to other clusters by sharing triangle vertices with neighboring tetrahedra and tetrahedron vertices with neighboring triangles to form a sheet perpendicular to [001],"5:2◿+3T, A=B, sheets"
84,Hexahydrogen pentaborate (brianroulstonite_type),B_5_O_6_(OH)_6_*1*,B_5_O_6_(OH)_6_*1*,,11,12,12,,The FBB consists of a twelve-membered ring of alternating triangles and tetrahedra,"12:6◿+6T, sheets"
85,Hexahydrogen pentaborate (ulexite_type),B_5_O_6_(OH)_6_*2*,B_5_O_6_(OH)_6_*2*,,11,12,12,,The FBB consists of two (BФ3) groups and three (BФ4) groups that link by sharing corners to form two <◿2Ф> rings that fuse through a common (BФ4) group.,"5:2◿+3T, A=B, isolated"
86,Hydrogen pentaborate,B_5_O_8_(OH),B_5_O_8_(OH),,11,12,12,,"Comprised of three BФ3  triangles and two BФ4 tetrahedra thatshare vertices to form a three-membered–BФ3–BФ3–BФ4–ring and a three-membered–BФ3–BФ4–BФ4–ring, with a common BФ4tetrahedron shared betweenthe two rings.","5:3◿+2T, sheets"
87,Octahydrogen pentaborate,B_15_O_20_(OH)_8_,B_15_O_20_(OH)_8_,,11,12,12,,This FBB consists of two <2◿T> rings that link via a common (BO_4_) tetrahedron. It occurs as polymerized type to form chains.,"5:(4◿ + T)3, isolated trimer"
88,Pentaborate(9.5O),B_10_O_19_,B_10_O_19_,,11,12,12,,Unknown structure type,
89,Pentaborate(9O),B_5_O_9_,B_5_O_9_,,11,12,12,,"The FBBs link by sharing (BO_4_) comers to form chains that extend along the c axis; each chain connects to adjacent chains by sharing corners between a (BO_3_) group of one chain and a (BO_4_) group of the adjacent chain. This connectivity results in a framework structure with open channels parallel to the a, b and c axis","5:2◿+3T, isolated"
90,Pentahydrogen pentaborate,B_5_O_7_(OH)_5_,B_5_O_7_(OH)_5_,,11,12,12,,"The structure consists of infinite chains of pairs of borate rings that extend along [100] via corner-sharing; three corner-linked Bϕ4 (ϕ: OH−, O2−, or H2O) tetrahedra form one ring linked through a common boron atom to the next ring, composed of two Bϕ4 tetrahedra and one Bϕ3 triangle.","5:◿+4T, sheets"
91,Tetrahydrogen pentaborate,B_5_O_6_(OH)_4_,B_5_O_6_(OH)_4_,,11,12,12,,This FBB consists of two <4◿T> rings that link via a common (BФ4) tetrahedron. It occurs as an isolated cluster,"5:4◿+T, isolated"
92,Tetrahydrogen pentaborate,B_5_O_7_(OH)_4_,B_5_O_7_(OH)_4_,,11,12,12,,"Two <◿+2T> rings link through a common (BФ4) group, and an additional (BФ3) group is attached to a tetrahedron vertex. These clusters link by sharing vertices between triangles and tetrahedra to form convoluted chains extending along [010]","5:2◿+3T, A=B, chains"
93,Trihydrogen pentaborate (ezcurrite_type),B_5_O_7_(OH)_3_*1*,B_5_O_7_(OH)_3_*1*,,11,12,12,,"This FBB has two different types of rings, <2◿T> and <◿2T> that link through a common tetrahedron. It is a common FBB that occurs polymerized to form chains","5:3◿+2T, A=B, chains"
94,Trihydrogen pentaborate (kaliborite_type),B_5_O_7_(OH)_3_*2*,B_5_O_7_(OH)_3_*2*,,11,12,12,,It consists of two <◿2T> rings that link together through a common (BФ4) group.,"5:2◿+3T, A=B chains, modified"
95,Dihydrogen tetraborate (6O),B_4_O_6_(OH)_2_,B_4_O_6_(OH)_2_,,11,12,20,,This FBB occurs only in kernite and consists of a <◿2T> ring that links to form a chain along [010] via sharing of a common tetrahedron between adjacent rings.,"7:3◿+4T, chains (?)"
96,Dihydrogen tetraborate (7O),B_4_O_7_(OH)_2_,B_4_O_7_(OH)_2_,,11,12,20,,"The FBBs polymerize such that each (BФ3) group shares an anion with a (BФ4) group of an adjacent FBB, resulting in a framework structure that is composed of two interlocking networks of polmerized FBBs","4-1:2◿+2T, isolated"
97,Hexahydrogen tetraborate (4O),B_4_O_4_(OH)_6_,B_4_O_4_(OH)_6_,,11,12,20,,The fundamental building block of the alfredstelznerite structure is the [B4O4(OH)(6)] polyhedron cluster containing two (B Phi(3)) triangles and two (B Phi(4)) tetrahedra. One (B Phi(3)) triangle and two (B Phi(4)) tetrahedra form a three-membered ring that is decorated by an additional (B Phi(3)) triangle sharing a vertex with a (B Phi(4)) tetrahedron; the algebraic descriptor for this borate cluster is <Delta 2 square >.,4:2◿+2T
98,Hexahydrogen tetraborate (6O),B_4_O_6_(OH)_6_,B_4_O_6_(OH)_6_,,11,12,20,,The 4:4T FBB (fundamental building block) of the borcarite structure contains four Bphi4 tetrahedra (phi = unspecified ligand) which share corners to form a four-membered polyhedral ring.,"4:4T, isolated"
99,Tetrahydrogen tetraborate,B_4_O_5_(OH)_4_,B_4_O_5_(OH)_4_,,11,12,20,,"The FBBs polymerize such that each (BФ3) group shares an anion with a (BФ4) group of an adjacent FBB, resulting in a framework structure that is composed of two interlocking networks of polmerized FBBs","4-1:2◿+2T, isolated"
100,Hexahydrogen triborate,B_3_O_3_(OH)_6_,B_3_O_3_(OH)_6_,,11,12,21,,<3T> rings,"3:3T, isolated"
101,Hydroxytriborate,B_3_O_5_(OH),B_3_O_5_(OH),,11,12,21,,"Consists of a four-membered rins of tetrahedra, <4T>, that shares two rrars edges with iwo three-membered rings, <◿2T>; the resulting cluster consists of four tetrahedra and two triangles. These clusters link by sharing two tetrahedron and two triangle vertices with adjacent clusrers to form a sheet","3:◿+2T, sheets"
102,Pentahydrogen triborate,B_3_O_3_(OH)_5_,B_3_O_3_(OH)_5_,,11,12,21,,This FBB is a <3T> ring decorated with an additional (BO4) group,"3:(3T)+T, isolated, modified"
103,Tetrahydrogen triborate,B_3_O_4_(OH)_4_,B_3_O_4_(OH)_4_,,11,12,21,,"<◿2T> rings. Both (BO4) tetrahedra share edges with the (CaФ6) polyhedra, and the (BO3) triangle extends outward from the sheet to link by corner-sharing to the adjacent sheet.","3:◿+2T, isolated"
104,Tetrahydrogen triborate (ameghinite_type),B_3_O_3_(OH)_4_*2*,B_3_O_3_(OH)_4_*2*,,11,12,21,,An isolated <2◿T> cluster of the form [B_3_O_3_(OH)_4_],"3:2◿+T, isolated"
105,Tetrahydrogen triborate (hydrochlorborite_type),B_3_O_3_(OH)_4_*1*,B_3_O_3_(OH)_4_*1*,,11,12,21,,<◿2T> ring,"3:◿+2T, isolated"
106,Triborate,B_3_O_7_,B_3_O_7_,,11,12,21,,"FBB, which consists of a six-membered ring of tetrahedra that shares an edge with a fourmembered ring of tetrahedra. The FBBs link by sharing edges between the six-membered rings and between the six- and four-membered rings, and by sharing vertices between six-membered rings and between four-membered rings to form a sheet parallel to (001).",8:8T
107,Trihydrogen triborate,B_3_O_4_(OH)_3_,B_3_O_4_(OH)_3_,,11,12,21,,<◿2T> rings share two vertices between triangles and tetrahedra of adjacent rings to form a chain extending along [100].,"3:◿+2T, chains"
108,Borate (unclassified_balavinskite_type),B_6_O_11_,B_6_O_11_,,11,12,22,,Unknown structure type,
109,Borate (unclassified_chelkarite_type),B_2_O_4_*4*,B_2_O_4_*4*,,11,12,22,,Unknown structure type,
110,Borate (unclassified_ekaterinite_type),B_4_O_7_*2*,B_4_O_7_*2*,,11,12,22,,Unknown structure type,
111,Borate (unclassified_iquiqueite_type),B_24_O_39_(OH),B_24_O_39_(OH),,11,12,22,,Unknown structure type,
112,Borate (unclassified_korzhinskite_type),B_2_O_4_*3*,B_2_O_4_*3*,,11,12,22,,Unknown structure type,
113,Borate (unclassified_vitimite_type),B_14_O_19_(OH)_14_,B_14_O_19_(OH)_14_,,11,12,22,,Unknown structure type,
114,Borate (unclassified_wardsmithite_type),B_4_O_7_*1*,B_4_O_7_*1*,,11,12,22,,Unknown structure type,
115,Carbonate,CO_3_,CO_3_,,11,14,,,"It consists of one carbon atom surrounded by three oxygen atoms, in a trigonal planar arrangement, with D3h molecular symmetry",Pyramid
116,Hydrogen carbonate,HCO_3_,HCO_3_,115,11,14,,,"it consists of one central carbon atom surrounded by three oxygen atoms in a trigonal planar arrangement, with a hydrogen atom attached to one of the oxygens.",Pyramid
117,Chromate,CrO_4_,Cr^6+^O_4_,,11,15,,,Cr atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
118,Dichromate,Cr^6+^_2_O_7_,Cr^6+^_2_O_7_,,11,15,,,It consists of two chromate tetrahedron that shares one oxygen,Two tetrahedra
119,Hydrogarnet-like substitution group,H_4_O_4_,H_4_O_4_,,11,20,,,It consists of four oxygen atoms and four hydrogen atoms,
120,Hydroxide,OH,OH,,11,20,,,It contains oxygen bonded to hydrogen,Bent
121,Iodate,IO_3_,I^5+^O_3_,,11,22,,,Iodine is bonded to three oxygen atoms,Trigonal pyramidal
122,Iodite,I^3+^O_2_,I^3+^O_2_,,11,23,,,Anion obtained by deprotonation of iodous acid. It is an iodine oxoanion and a monovalent inorganic anion. It is a conjugate base of an iodous acid.,
123,Molybdate (Mo^IV^),MoO_4_,Mo^6+^O_4_,,11,27,,,Mo ion is surroanded by four oxygen,Tetrahedron
124,Molybdate (Mo^VI^),MoO_6_,Mo^6+^O_6_,,11,27,,,Ion of Mo is octahedrally surrounded with six O,Octaedron
125,Heteropolyniobate,Nb^5+^_12_O_42_,Nb^5+^_12_O_42_,,11,29,,,"Formed by 12 face and corner sharing NbO6-octahedra, enclosing a 12-fold coordinated cavity",Framework
126,Niobate (Nb^VI^),Nb^5+^O_6_,Nb^5+^O_6_,,11,29,,,Ion of N is octahedrally surrounded with six Ob,Octaedron
127,Hexaniobate,Nb^5+^_6_O_19_,Nb^5+^_6_O_19_,,11,29,,,Six edge-sharing Nb-octahedra form the Lindqvist ion,Framework
128,Niobate (Nb^IV^),NbO_4_,Nb^5+^O_4_,,11,29,,,Nb ion is surroanded by four oxygen,Tetrahedron
129,Nitrate,NO_3_,N^5+^O_3_,,11,30,,,"The anion is the conjugate base of nitric acid, consisting of one central nitrogen atom surrounded by three identically bonded oxygen atoms in a trigonal planar arrangement",Trigonal pyramidal
130,Oxide,O,O,,11,32,,,Single ion,Point
131,Dihydrogen phosphate,H_2_PO_4_,H_2_PO_4_,134,11,33,,,P atom is coordinated by two O atoms and two OH groups forming a tetrahedron,Tetrahedron
132,Diphosphate,P_2_O_7_,P_2_O_7_,134,11,33,,,Two corner-sharing PO_4_ tetrahedra,Two tetrahedra
133,Hydrogen phosphate,HPO_4_,HPO_4_,134,11,33,,,P atom is coordinated by two O atoms and one OH groups forming a tetrahedron,Tetrahedron
134,Phosphate,PO_4_,PO_4_,,11,33,,,P ion is surroanded by four oxygen,Tetrahedron
135,Triphosphate,P_3_O_10_,P_3_O_10_,,11,33,,,Three corner-sharing PO_4_ tetraedra,Three tetrahedra
136,Selenate,SeO_4_,Se^6+^O_4_,,11,38,,,Se ion is surroanded by four oxygen,Tetrahedron
137,Selenite,SeO_3_,Se^4+^O_3_,,11,40,,,Se is bonded to three oxygen atoms,Trigonal pyramidal
138,Fluorosulfate,SO_3_F,S^6+^O_3_F,,11,45,,,The fluorosulfate anion can be treated as though it were a hydrogen sulfate anion with hydroxyl substituted by fluorine,Tetrahedron
139,Hydrogensulfate,SO_3_OH,S^6+^O_3_OH,,11,45,,,S ion is surroanded by three oxygen and one OH group,Tetrahedron
140,Sulfate,SO_4_,S^6+^O_4_,,11,45,,,S ion is surroanded by four oxygen,Tetrahedron
141,Thiosulphate,S_2_O_3_,S^4+^_2_O_3_,,11,45,,,A sulfate ion with one oxygen replaced by sulfur.,Tetrahedron
142,Sulfite,SO_3_,S^4+^O_3_,,11,47,,,S is bonded to three oxygen atoms,Trigonal pyramidal
143,Tantalate,TaO_4_,TaO_4_,,11,48,,,Ta ion is surroanded by four oxygen,Tetrahedron
144,Metatellurate,TeO_4_,Te^6+^O_4_,,11,50,,,Te atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
145,Orthotellurate,TeO_6_,Te^6+^O_6_,,11,50,,,Te atom is coordinated by six O atoms forming a slightly distorted octahedron,Octahedra
146,Tellurite (Te^V^),Te^4+^O_5_,Te^4+^O_5_,,11,52,,,Te atom is coordinated by five O atoms,Square-based pyramids
147,Tellurite (Te^IV^),Te^4+^O_4_,Te^4+^O_4_,,11,52,,,Te atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
148,Phyllotellurate (carlfriesite_type),"(Te^6+^,Te^4+^)_3_O_8_","(Te^6+^,Te^4+^)_3_O_8_",,11,50,,,The nanoporous [Te4+2Te6+O8]2– framework structure of carlfriesite consists of an unusual Te4+O5 network of primary bonds and Te6+O6 octahedra,Framework
149,Dihydrogen orthotellurate,H_2_TeO_6_,H_2_Te^6+^O_6_,145,11,52,,,Te atom is coordinated by four O atoms and two OH units forming a slightly distorted octahedron,Octahedra
150,Dihydrogen tellurite,H_2_TeO_3_,H_2_Te^4+^O_3_,154,11,52,,,Te is bonded to three oxygen and two hydrogen atom,Trigonal pyramidal
151,Ditellurite,Te^4+^_2_O_5_,Te^4+^_2_O_5_,,11,52,,,The structure is based on [Te2O5] corner-linked dimers of  [TeO3]3− trigonal pyramids,Two pyramids
152,Hydrogen tellurite,HTeO_3_,HTe^4+^O_3_,154,11,52,,,Te is bonded to three oxygen and one hydrogen atom,Trigonal pyramidal
