language_name,language_group,other_names,type,scope,639-1,639-2,639-3,639-5
Romanian,Romanian; Moldavian; Moldovan,,Living,Individual,ro,ron / rum*,ron,
Moldavian,Romanian; Moldavian; Moldovan,,Living,Individual,ro,ron / rum*,ron,
Moldovan,Romanian; Moldavian; Moldovan,,Living,Individual,ro,ron / rum*,ron,
Romansh,Romansh,,Living,Individual,rm,roh,roh,
Romany,Romany,Romani,Living,Macrolanguage,,rom,rom,
Rundi,Rundi,Kirundi,Living,Individual,rn,run,run,
Russian,Russian,,Living,Individual,ru,rus,rus,
Salishan languages,Salishan languages,,,Collective,,sal,,sal
Samaritan Aramaic,Samaritan Aramaic,,Extinct,Individual,,sam,sam,
Sami languages,Sami languages,,,Collective,,smi,,smi
Samoan,Samoan,,Living,Individual,sm,smo,smo,
Sandawe,Sandawe,,Living,Individual,,sad,sad,
Sango,Sango,,Living,Individual,sg,sag,sag,
Sanskrit,Sanskrit,,Ancient,Individual,sa,san,san,
Santali,Santali,,Living,Individual,,sat,sat,
Sardinian,Sardinian,,Living,Macrolanguage,sc,srd,srd,
Sasak,Sasak,,Living,Individual,,sas,sas,
Scots,Scots,,Living,Individual,,sco,sco,
Selkup,Selkup,,Living,Individual,,sel,sel,
Semitic languages,Semitic languages,,,Collective,,sem,,sem
Serbian,Serbian,,Living,Individual,sr,srp,srp,
Serer,Serer,,Living,Individual,,srr,srr,
Shan,Shan,,Living,Individual,,shn,shn,
Shona,Shona,,Living,Individual,sn,sna,sna,
Sichuan Yi,Sichuan Yi; Nuosu,,Living,Individual,ii,iii,iii,
Nuosu,Sichuan Yi; Nuosu,,Living,Individual,ii,iii,iii,
Sicilian,Sicilian,,Living,Individual,,scn,scn,
Sidamo,Sidamo,,Living,Individual,,sid,sid,
Sign Languages,Sign Languages,,,Collective,,sgn,,sgn
Siksika,Siksika,Blackfoot,Living,Individual,,bla,bla,
Sindhi,Sindhi,,Living,Individual,sd,snd,snd,
Sinhala,Sinhala; Sinhalese,,Living,Individual,si,sin,sin,
Sinhalese,Sinhala; Sinhalese,,Living,Individual,si,sin,sin,
Sino-Tibetan languages,Sino-Tibetan languages,,,Collective,,sit,,sit
Siouan languages,Siouan languages,,,Collective,,sio,,sio
Skolt Sami,Skolt Sami,,Living,Individual,,sms,sms,
Slave (Athapascan),Slave (Athapascan),Slavey,Living,Macrolanguage,,den,den,
Slavic languages,Slavic languages,,,Collective,,sla,,sla
Slovak,Slovak,,Living,Individual,sk,slo* / slk,slk,
Slovenian,Slovenian,Slovene,Living,Individual,sl,slv,slv,
Sogdian,Sogdian,,Ancient,Individual,,sog,sog,
Somali,Somali,,Living,Individual,so,som,som,
Songhai languages,Songhai languages,Songhay languages,,Collective,,son,,son
Soninke,Soninke,,Living,Individual,,snk,snk,
Sorbian languages,Sorbian languages,,,Collective,,wen,,wen
"Sotho, Southern","Sotho, Southern",,Living,Individual,st,sot,sot,
South American Indian (Other),South American Indian (Other),,,Collective,,sai,,sai
Southern Altai,Southern Altai,,Living,Individual,,alt,alt,
Southern Sami,Southern Sami,,Living,Individual,,sma,sma,
Spanish,Spanish; Castilian,,Living,Individual,es,spa,spa,
Castilian,Spanish; Castilian,,Living,Individual,es,spa,spa,
Sranan Tongo,Sranan Tongo,,Living,Individual,,srn,srn,
Standard Moroccan Tamazight,Standard Moroccan Tamazight,Standard Moroccan Berber,Living,Individual,,zgh,zgh,
Sukuma,Sukuma,,Living,Individual,,suk,suk,
Sumerian,Sumerian,,Ancient,Individual,,sux,sux,
Sundanese,Sundanese,,Living,Individual,su,sun,sun,
Susu,Susu,,Living,Individual,,sus,sus,
Swahili,Swahili,,Living,Macrolanguage,sw,swa,swa,
Swati,Swati,Swazi,Living,Individual,ss,ssw,ssw,
Swedish,Swedish,,Living,Individual,sv,swe,swe,
Swiss German,Swiss German; Alemannic; Alsatian,,Living,Individual,,gsw,gsw,
Alemannic,Swiss German; Alemannic; Alsatian,,Living,Individual,,gsw,gsw,
Alsatian,Swiss German; Alemannic; Alsatian,,Living,Individual,,gsw,gsw,
Syriac,Syriac,,Living,Macrolanguage,,syr,syr,
Tagalog,Tagalog,,Living,Individual,tl,tgl,tgl,
Tahitian,Tahitian,,Living,Individual,ty,tah,tah,
Tai languages,Tai languages,,,Collective,,tai,,tai
Tajik,Tajik,,Living,Individual,tg,tgk,tgk,
Tamashek,Tamashek,Tamasheq,Living,Macrolanguage,,tmh,tmh,
Tamil,Tamil,,Living,Individual,ta,tam,tam,
Tatar,Tatar,,Living,Individual,tt,tat,tat,
Telugu,Telugu,,Living,Individual,te,tel,tel,
Tereno,Tereno,Terena,Living,Individual,,ter,ter,
Tetum,Tetum,,Living,Individual,,tet,tet,
Thai,Thai,,Living,Individual,th,tha,tha,
Tibetan,Tibetan,,Living,Individual,bo,bod / tib*,bod,
Tigre,Tigre,,Living,Individual,,tig,tig,
Tigrinya,Tigrinya,,Living,Individual,ti,tir,tir,
Timne,Timne,Temne,Living,Individual,,tem,tem,
Tiv,Tiv,,Living,Individual,,tiv,tiv,
Tlingit,Tlingit,,Living,Individual,,tli,tli,
Tok Pisin,Tok Pisin,,Living,Individual,,tpi,tpi,
Tokelau,Tokelau,Tokelauan,Living,Individual,,tkl,tkl,
Tonga (Nyasa),Tonga (Nyasa),,Living,Individual,,tog,tog,
Tonga (Tonga Islands),Tonga (Tonga Islands),Tongan,Living,Individual,to,ton,ton,
Tsimshian,Tsimshian,,Living,Individual,,tsi,tsi,
Tsonga,Tsonga,,Living,Individual,ts,tso,tso,
Tswana,Tswana,,Living,Individual,tn,tsn,tsn,
Tumbuka,Tumbuka,,Living,Individual,,tum,tum,
Tupi languages,Tupi languages,Tupian languages,,Collective,,tup,,tup
Turkish,Turkish,,Living,Individual,tr,tur,tur,
"Turkish, Ottoman (1500–1928)","Turkish, Ottoman (1500–1928)",,Historical,Individual,,ota,ota,
Turkmen,Turkmen,,Living,Individual,tk,tuk,tuk,
Tuvalu,Tuvalu,Tuvaluan,Living,Individual,,tvl,tvl,
Tuvinian,Tuvinian,Tuvan,Living,Individual,,tyv,tyv,
Twi,Twi,,Living,Individual,tw,twi,twi,
Udmurt,Udmurt,,Living,Individual,,udm,udm,
Ugaritic,Ugaritic,,Ancient,Individual,,uga,uga,
Uighur,Uighur; Uyghur,,Living,Individual,ug,uig,uig,
Uyghur,Uighur; Uyghur,,Living,Individual,ug,uig,uig,
Ukrainian,Ukrainian,,Living,Individual,uk,ukr,ukr,
Umbundu,Umbundu,,Living,Individual,,umb,umb,
Uncoded languages,Uncoded languages,,,Special,,mis,mis,
Undetermined,Undetermined,,,Special,,und,und,
Upper Sorbian,Upper Sorbian,,Living,Individual,,hsb,hsb,
Urdu,Urdu,,Living,Individual,ur,urd,urd,
Uzbek,Uzbek,,Living,Macrolanguage,uz,uzb,uzb,
Vai,Vai,,Living,Individual,,vai,vai,
Venda,Venda,,Living,Individual,ve,ven,ven,
Vietnamese,Vietnamese,,Living,Individual,vi,vie,vie,
Volapük,Volapük,,Constructed,Individual,vo,vol,vol,
Votic,Votic,,Living,Individual,,vot,vot,
Wakashan languages,Wakashan languages,,,Collective,,wak,,wak
Walloon,Walloon,,Living,Individual,wa,wln,wln,
Waray,Waray,,Living,Individual,,war,war,
Washo,Washo,,Living,Individual,,was,was,
Welsh,Welsh,,Living,Individual,cy,cym / wel*,cym,
Western Frisian,Western Frisian,West Frisian,Living,Individual,fy,fry,fry,
Wolaitta,Wolaitta; Wolaytta,,Living,Individual,,wal,wal,
Wolaytta,Wolaitta; Wolaytta,,Living,Individual,,wal,wal,
Wolof,Wolof,,Living,Individual,wo,wol,wol,
Xhosa,Xhosa,,Living,Individual,xh,xho,xho,
Yakut,Yakut,,Living,Individual,,sah,sah,
Yao,Yao,,Living,Individual,,yao,yao,
Yapese,Yapese,,Living,Individual,,yap,yap,
Yiddish,Yiddish,,Living,Macrolanguage,yi,yid,yid,
Yoruba,Yoruba,,Living,Individual,yo,yor,yor,
Yupik languages,Yupik languages,,,Collective,,ypk,,ypk
Zande languages,Zande languages,,,Collective,,znd,,znd
Zapotec,Zapotec,,Living,Macrolanguage,,zap,zap,
Zaza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Living,Macrolanguage,,zza,zza,
Dimili,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Living,Macrolanguage,,zza,zza,
Dimli,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Living,Macrolanguage,,zza,zza,
Kirdki,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Living,Macrolanguage,,zza,zza,
Kirmanjki,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Living,Macrolanguage,,zza,zza,
Zazaki,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Living,Macrolanguage,,zza,zza,
Zenaga,Zenaga,,Living,Individual,,zen,zen,
Zhuang,Zhuang; Chuang,,Living,Macrolanguage,za,zha,zha,
Chuang,Zhuang; Chuang,,Living,Macrolanguage,za,zha,zha,
Zulu,Zulu,,Living,Individual,zu,zul,zul,
Zuni,Zuni,,Living,Individual,,zun,zun,
